rain	temp_min	temp_max	date
69.9			2021-09-18
28.8			2021-09-23
4.5			2021-12-30
38.3			2022-01-06
27.3			2022-01-07
42.6			2022-01-08
31.1			2022-02-10
186.3			2022-02-13
0.9			2022-02-18
10.7			2022-02-23
27.0			2022-03-05
0.5			2022-03-06
69.4			2022-03-18
56.7			2022-04-11
19.6			2022-07-23
0.2			2022-08-15
0.7			2022-08-18
12.0			2022-08-21
7.5			2022-08-25
23.3			2022-08-29
17.9			2022-09-28
39.9			2022-10-08
27.2			2022-10-20
16.0			2022-10-30
110.7			2022-11-02
9.0			2022-11-19
1.8			2022-11-20
7.6			2022-11-23
16.1			2022-12-08
119.8			2022-12-09
62.8			2023-02-02
54.3			2023-02-03
17.1			2023-04-30
32.8			2023-09-23
36.1			2023-11-14
20.3			2023-11-16
53.0			2023-11-20
46.8			2023-11-21
74.5			2023-11-22
63.2			2023-11-30
48.1			2023-12-08
9.0			2023-12-10
50.5			2023-12-11
8.9			2023-12-22
2.0			2023-12-26
38.2			2024-01-08
90.0			2024-01-09
0.6			2024-01-18
0.6			2024-01-18
0.5			2024-01-28
1.8			2024-01-29
6.5			2024-02-04
0.2			2024-02-13
0.2			2024-02-14
