date	rain	temp_min	temp_max
2024-01-20	53.5		
2024-01-19	111.0		
2024-01-09	121.5		
2023-12-24	9.5		
2023-12-15	112.6		
2023-12-11	48.0		
2023-12-10	11.7		
2023-12-03	31.5		
2023-12-01	68.0		
2023-11-26	9.9		
2023-11-16	39.2		
2023-11-15	54.0		
2023-11-14	70.8		
2023-11-08	58.9		
2023-09-22	27.0		
2023-09-18	46.3		
2023-09-18	46.3		
2023-05-06	7.5		
2023-04-19	0.0		
2023-04-16	0.0		
2023-04-15	0.0		
2023-04-14	0.0		
2023-04-13	0.0		
2023-04-12	0.0		
2023-04-11	0.0		
2023-04-10	0.0		
2022-09-25	0.0		
2022-09-23	0.0		
2022-09-18	0.0		
2022-09-17	0.0		
2022-09-14	0.0		
2022-09-09	0.0		
2022-08-15	0.0		
2022-07-23	20.5		
2022-06-14	0.0		
2022-05-08	0.0		
2022-03-24	0.0		
2022-03-23	0.0		
2022-03-22	0.0		
2022-03-17	0.0		
2022-03-15	0.0		
2022-03-06	0.5		
2022-03-04	40.2		
2022-03-01	0.0		
2022-02-22	0.0		
2022-02-18	0.0		
2022-02-17	0.0		
2022-02-09	0.0		
2022-02-06	0.0		
2022-02-05	0.0		
2022-02-03	0.0		
2022-01-26	0.0		
2022-01-24	0.0		
2022-01-23	0.0		
2022-01-22	0.0		
2022-01-21	0.0		
2022-01-20	0.0		
2021-12-29	0.0		
2021-12-28	0.0		
2021-12-18	19.8		
2021-11-29	42.5		
2021-11-26	60.5		
2021-11-24	109.0		
2021-11-23	8.0		
2021-11-22	0.0		
2021-11-21	0.0		
2021-10-25	54.5		
2021-09-24	34.0		
2021-09-10	0.0		
2021-08-20	0.0		
