date	rain	min_temp	max_temp
2021-06-28	11.5	22.1	34.0
2021-06-30	0.0	22.7	33.8
2021-07-05	0.0	21.5	33.6
2021-07-10	12.5	22.0	32.5
2021-07-15	0.0	23.0	34.1
2021-07-17	22.4	21.8	33.8
2021-07-23	0.0	23.1	32.9
2021-07-26	0.0	23.7	33.5
2021-07-29	0.0	22.7	34.7
2021-08-12	38.7	22.3	33.8
2021-08-15	0.4	22.6	34.1
2021-08-25	0.0	23.3	33.5
2021-08-27	0.0	22.9	33.4
2021-09-09	0.0	21.3	34.3
2021-09-13	0.0	21.9	35.1
2021-09-14	0.0	22.7	35.5
2021-09-15	0.0	22.4	35.1
2021-09-16	0.0	23.6	30.8
2021-09-22	0.2	21.0	33.1
2021-09-25	109.2	21.1	33.3
2021-09-28	0.0	22.9	34.0
2021-10-03	0.4	22.2	31.7
2021-10-09	0.0	21.3	33.3
2021-10-13	0.0	22.5	32.0
2021-10-15	0.0	21.7	34.6
2021-10-19	0.0	20.7	34.6
2021-10-23	9.7	21.4	33.9
2021-11-08	29.9	22.9	29.4
2021-11-09	9.4	22.5	28.9
2021-11-11	27.3	23.4	31.6
2021-11-14	0.0	23.2	31.3
2021-11-15	0.0	22.9	31.9
2021-11-23	0.0	22.7	31.7
2021-11-24	25.0	22.9	30.5
2021-11-25	15.4	23.2	28.1
2021-12-02	0.0	19.6	32.1
2021-12-09	3.7	23.2	30.4
2021-12-13	44.0	22.4	28.5
2021-12-22	0.0	23.1	31.9
2021-12-29	0.0	20.4	31.1
2021-12-31	2.9	22.1	32.3
2022-01-01	2.2	22.7	31.0
2022-01-03	11.1	22.7	29.5
2022-01-09	0.0	22.5	29.9
2022-01-18	0.0	20.9	31.4
2022-01-22	0.0	13.9	32.5
2022-01-28	0.0	17.9	30.5
2022-01-30	0.0	20.7	33.8
2022-01-31	5.9	23.5	33.7
2022-02-06	0.0	19.2	33.5
2022-02-16	0.0	19.5	31.2
2022-02-26	0.0	22.2	30.4
2022-02-27	0.7	23.2	31.6
2022-02-28	0.0	21.1	31.8
2022-03-03	7.2	22.5	28.7
2022-03-10	0.0	21.4	33.1
2022-03-13	0.4	22.2	33.2
2022-03-24	0.0	21.6	33.5
2022-03-28	0.0	21.3	34.2
2022-04-04	0.1	21.3	34.7
2022-04-10	19.2	21.1	32.9
2022-04-16	44.5	22.8	34.5
2022-04-21	0.0	23.3	33.7
2022-04-22	0.0	24.0	34.5
2022-04-30	1.6	21.7	34.2
2022-05-07	0.0	23.7	34.4
2022-05-12	0.0		
2022-05-14	0.4	23.2	32.2
2022-05-27	0.0	23.0	33.6
2022-06-01	0.0	23.1	30.0
2022-06-05	0.0	23.3	34.7
2022-06-13	0.0	21.9	34.3
2022-07-14	0.0	20.6	35.4
2022-07-21	0.0	22.5	34.1
2022-07-26	31.3	21.9	34.8
2022-08-01	2.7	22.4	32.1
2022-08-16	0.0	23.2	34.2
2022-08-17	0.0	22.7	32.4
2022-08-31	55.7	22.6	32.6
2022-09-04	0.0	21.4	31.9
2022-09-05	1.1	22.5	33.1
2022-09-08	0.0	21.3	32.7
2022-09-14	0.0	22.8	34.5
2022-09-17	0.0	21.3	35.3
2022-09-21	19.4	20.9	35.5
2022-10-01	0.0	21.9	33.5
2022-10-06	8.0	20.7	34.7
2022-10-08	0.7	21.5	32.6
2022-10-10	85.6	21.0	33.6
2022-10-11	4.0	22.0	32.5
2022-10-13	25.4	22.6	31.6
2022-10-14	33.3	21.6	31.0
2022-10-15	21.5	22.5	31.9
2022-10-24	14.2	23.0	32.6
2022-11-03	19.7	21.3	31.0
2022-11-04	1.9	21.5	31.8
2022-11-06	19.6	22.2	29.9
2022-11-07	0.0	20.3	31.7
2022-11-08	2.3	22.9	31.2
2022-11-09	12.9	22.3	28.1
2022-11-11	0.0	21.8	29.9
2022-11-17	6.0	20.1	31.1
2022-11-19	0.1	22.0	30.8
2022-11-20	0.0	21.0	30.7
2022-11-24	0.0	21.2	31.6
2022-11-27	40.1	22.6	32.0
2022-11-28	37.2	21.5	31.2
2022-12-03	1.8	22.8	32.4
2022-12-04	13.3	22.3	31.3
