rain	temp_min	temp_max	date
23.0			2021-07-08
46.0			2021-11-27
52.2			2021-12-14
45.2			2022-01-05
12.0			2022-02-15
12.3			2022-02-25
24.0			2022-03-08
16.3			2022-03-29
54.2			2022-04-09
8.2			2022-07-18
8.4			2022-07-21
6.0			2022-12-16
63.3			2022-12-19
52.3			2022-12-21
19.0			2023-02-08
32.5			2023-02-21
9.6			2023-05-06
5.0			2023-09-21
58.6			2023-11-06
27.0			2023-11-18
66.3			2023-11-20
44.4			2023-11-22
40.7			2023-12-11
35.3			2023-12-13
16.0			2023-12-14
102.7			2023-12-16
70.0			2023-12-19
51.4			2023-12-20
33.7			2023-12-27
114.7			2023-12-28
34.3			2023-12-30
3.4			2024-01-03
10.0			2024-01-12
86.5			2024-01-29
20.6			2024-01-30
92.5			2024-02-05
1.5			2024-02-13
1.5			2024-02-14
29.3			2024-02-17
