date	rain	temp_min	temp_max
2024-01-07	6.9		
2023-12-22	36.6		
2023-12-18	27.2		
2023-12-17	27.2		
2023-12-02	45.1		
2023-11-26	19.0		
2023-11-16	37.0		
2023-11-15	58.0		
2023-05-08	13.5		
2023-05-02	53.0		
2023-04-19	0.0		
2023-04-14	0.0		
2023-04-13	0.0		
2023-04-12	0.0		
2023-04-10	0.0		
2023-02-24	0.0		
2023-02-23	0.0		
2023-02-18	0.0		
2023-02-17	0.0		
2023-02-16	0.0		
2023-02-15	0.0		
2023-02-14	0.0		
2023-02-13	0.0		
2023-02-12	0.0		
2023-02-11	0.0		
2023-02-10	0.0		
2023-02-09	0.0		
2023-02-02	98.0		
2023-01-29	0.0		
2023-01-20	0.0		
2023-01-19	0.0		
2022-12-14	43.7		
2022-12-07	0.0		
2022-12-01	20.0		
2022-11-26	4.0		
2022-11-24	0.0		
2022-11-23	0.0		
2022-11-22	0.0		
2022-11-21	0.0		
2022-11-18	0.0		
2022-11-11	72.0		
2022-10-30	17.0		
2022-10-29	0.0		
2022-10-25	82.2		
2022-09-25	0.0		
2022-09-24	0.0		
2022-09-09	0.0		
2022-08-15	0.0		
2022-08-14	0.0		
2022-08-13	0.0		
2022-08-12	0.0		
2022-08-11	0.0		
2022-08-10	0.0		
2022-07-31	58.0		
2022-07-25	0.0		
2022-07-24	34.0		
2022-07-13	0.0		
2022-06-14	0.0		
2022-05-09	2.0		
2022-04-18	25.0		
2022-04-17	4.0		
2022-04-14	34.0		
2022-03-24	11.0		
2022-03-23	0.0		
2022-03-22	0.0		
2022-03-17	0.0		
2022-03-06	0.0		
2022-03-05	16.0		
2022-02-22	0.0		
2022-02-18	0.0		
2022-02-17	0.0		
2022-02-16	0.0		
2022-02-11	44.5		
2022-02-09	0.0		
2022-02-06	0.0		
2022-02-05	0.0		
2022-02-03	0.0		
2022-01-26	0.0		
2022-01-24	0.0		
2022-01-23	0.0		
2022-01-22	0.0		
2022-01-21	0.0		
2022-01-18	83.0		
2022-01-01	39.0		
2021-12-30	4.0		
2021-12-29	0.0		
2021-12-28	0.0		
2021-12-27	0.0		
2021-12-17	50.0		
2021-11-22	0.0		
2021-11-18	74.5		
2021-11-12	52.0		
2021-10-09	20.5		
2021-09-30	0.5		
2021-07-21	0.0		
2021-07-20	0.0		
2021-07-19	22.0		
2021-07-15	10.3		
2021-07-14	0.0		
