rain	temp_min	temp_max	date
0.0	25.6	32.6	2021-06-28
	25.9	31.7	2021-06-29
2.5	26.0	30.7	2021-06-30
17.0	23.1	31.8	2021-07-02
0.0	26.0	31.3	2021-07-03
0.3	26.3	31.0	2021-07-04
0.0	24.9	30.3	2021-07-05
0.0	26.0	30.4	2021-07-05
0.0	26.2	30.9	2021-07-06
2.3	24.8	30.9	2021-07-08
19.1	24.9	30.7	2021-07-09
24.9	23.2	30.0	2021-07-10
1.1	25.2	32.3	2021-07-12
0.0	26.5	32.7	2021-07-13
0.0	26.5	33.7	2021-07-14
0.0	26.1	34.0	2021-07-15
0.0	26.3	31.7	2021-07-16
0.0	26.9	34.3	2021-07-17
8.7	24.5	32.2	2021-07-18
0.0	26.6	32.3	2021-07-19
0.0	26.5	33.4	2021-07-20
0.0	26.5	34.4	2021-07-21
2.7	25.6	32.6	2021-07-23
11.9	24.5	29.1	2021-07-24
11.9	24.5	29.1	2021-07-24
4.3	25.2	29.5	2021-07-26
0.0	25.6	31.2	2021-07-27
0.0	25.7	30.0	2021-07-28
0.0	25.0	31.3	2021-07-29
0.0	25.8	29.9	2021-07-30
0.0	25.9	33.3	2021-07-31
0.0	25.9	30.6	2021-08-01
0.0	26.1	32.6	2021-08-02
	25.8	29.9	2021-08-03
	25.8	29.9	2021-08-03
0.0	25.6	30.2	2021-08-07
0.0	25.6	29.9	2021-08-09
0.0	25.0	29.8	2021-08-10
	26.0	29.6	2021-08-12
0.0	26.0	33.5	2021-08-13
0.0	26.1	33.1	2021-08-14
0.0	26.1	34.7	2021-08-15
0.0	25.9	32.8	2021-08-16
1.1	25.8	29.5	2021-08-18
1.1	25.8	29.5	2021-08-18
0.0	25.0	33.9	2021-08-20
0.0	26.2	30.0	2021-08-21
0.0	25.0	28.0	2021-08-23
0.0	25.0	28.0	2021-08-23
0.1	24.5	31.6	2021-08-25
0.7			2021-08-26
3.5			2021-08-27
7.5			2021-08-29
28.9			2021-08-30
0.0			2021-08-31
0.0			2021-09-01
5.8			2021-09-02
5.4			2021-09-03
1.4			2021-09-04
0.0			2021-09-07
0.1			2021-09-09
0.0			2021-09-10
0.8			2021-09-11
0.2			2021-09-13
0.9			2021-09-14
0.2			2021-09-15
0.0			2021-09-16
0.0			2021-09-18
0.0			2021-09-19
18.7			2021-09-21
0.0			2021-09-22
18.8			2021-09-23
0.0			2021-09-24
9.4			2021-09-25
3.8			2021-09-27
0.9			2021-09-28
7.7			2021-09-29
0.0			2021-09-30
0.8			2021-10-01
39.6			2021-10-02
0.0			2021-10-03
4.7			2021-10-04
40.4			2021-10-06
2.4			2021-10-07
0.0			2021-10-08
0.0			2021-10-09
0.0			2021-10-10
3.7			2021-10-11
0.5			2021-10-12
2.9			2021-10-13
0.0			2021-10-14
0.0			2021-10-15
1.1			2021-10-16
2.5			2021-10-17
0.3			2021-10-18
0.0			2021-10-19
4.0			2021-10-20
0.0			2021-10-21
0.0			2021-10-22
0.0			2021-10-23
0.0			2021-10-24
0.0			2021-10-25
4.2			2021-10-26
25.4			2021-10-27
0.0			2021-10-28
0.0			2021-10-30
0.1			2021-10-31
2.4			2021-11-01
6.2			2021-11-02
2.2			2021-11-03
25.3			2021-11-04
1.8			2021-11-05
0.0			2021-11-06
0.6			2021-11-07
0.6			2021-11-08
6.6			2021-11-09
1.2			2021-11-10
0.0			2021-11-11
0.0			2021-11-12
0.0			2021-11-13
0.0			2021-11-14
0.0			2021-11-15
10.3			2021-11-16
0.0			2021-11-18
0.0			2021-11-19
1.0			2021-11-20
0.0			2021-11-21
0.0			2021-11-22
0.0			2021-11-23
44.9			2021-11-24
72.8			2021-11-25
2.5			2021-11-26
0.1			2021-11-27
4.5			2021-11-28
1.1			2021-11-29
44.8			2021-11-30
0.5			2021-12-03
99.3			2021-12-04
3.5			2021-12-05
0.0			2021-12-07
0.0			2021-12-08
0.7			2021-12-09
0.0			2021-12-10
3.1			2021-12-12
8.3			2021-12-13
51.7			2021-12-14
14.8			2021-12-15
0.3			2021-12-16
0.4			2021-12-17
0.5			2021-12-18
21.8			2021-12-19
0.1			2021-12-20
0.0			2021-12-21
0.0			2021-12-22
0.0			2021-12-23
0.0			2021-12-24
0.0			2021-12-25
0.0			2021-12-26
0.0			2021-12-27
0.0			2021-12-28
0.0			2021-12-29
0.0			2021-12-30
0.0			2022-01-01
0.0			2022-01-02
0.6			2022-01-03
26.6			2022-01-05
9.4			2022-01-06
0.0			2022-01-07
0.0			2022-01-08
0.0			2022-01-09
0.2			2022-01-10
0.7			2022-01-12
8.1			2022-01-13
0.0			2022-01-14
0.0			2022-01-15
0.0			2022-01-16
0.0			2022-01-17
0.0			2022-01-18
0.0			2022-01-19
0.0			2022-01-20
0.0			2022-01-21
0.0			2022-01-22
0.0			2022-01-23
0.0			2022-01-24
0.0			2022-01-25
0.0			2022-01-26
0.0			2022-01-27
0.0			2022-01-28
0.0			2022-01-29
0.0			2022-01-30
0.0			2022-01-31
2.3			2022-02-01
0.0			2022-02-03
0.0			2022-02-04
0.0			2022-02-05
0.0			2022-02-06
0.0			2022-02-07
0.0			2022-02-08
0.0			2022-02-09
0.0			2022-02-10
2.9			2022-02-11
0.7			2022-02-12
10.6			2022-02-14
0.0			2022-02-15
0.0			2022-02-16
0.0			2022-02-17
0.0			2022-02-18
0.0			2022-02-19
0.0			2022-02-20
0.0			2022-02-21
0.0			2022-02-22
0.2			2022-02-23
0.0			2022-02-24
0.3			2022-02-25
0.0			2022-02-26
1.2			2022-02-27
0.0			2022-02-28
0.0			2022-03-01
0.0			2022-03-02
2.2			2022-03-04
6.6			2022-03-05
0.0			2022-03-06
0.0			2022-03-07
0.0			2022-03-08
0.0			2022-03-09
0.0			2022-03-10
0.0			2022-03-11
0.0			2022-03-12
45.1			2022-03-13
5.2			2022-03-14
0.0			2022-03-15
0.3			2022-03-17
0.7			2022-03-18
31.5			2022-03-19
0.0			2022-03-20
0.0			2022-03-21
0.0			2022-03-22
0.0			2022-03-23
0.0			2022-03-24
0.0			2022-03-25
0.0			2022-03-26
0.0			2022-03-27
3.3			2022-03-28
0.0			2022-03-29
39.9			2022-03-30
1.0			2022-03-31
0.0			2022-04-01
27.8			2022-04-02
0.0			2022-04-03
0.0			2022-04-04
0.0			2022-04-06
0.0			2022-04-07
9.7			2022-04-08
0.2			2022-04-10
0.0			2022-04-11
0.0			2022-04-12
16.4			2022-04-13
3.0			2022-04-14
0.0			2022-04-15
0.0			2022-04-16
0.0			2022-04-18
0.0			2022-04-19
0.0			2022-04-21
0.0			2022-04-22
0.2			2022-04-24
47.9			2022-04-25
0.0			2022-04-26
0.2			2022-04-27
3.3			2022-04-28
0.0			2022-04-29
0.0			2022-04-30
0.0			2022-05-01
0.0			2022-05-02
0.0			2022-05-03
0.0			2022-05-04
0.0			2022-05-05
0.0			2022-05-06
0.0			2022-05-07
0.0			2022-05-08
0.0			2022-05-09
4.8			2022-05-13
13.9			2022-05-14
5.0			2022-05-15
3.8			2022-05-16
6.3			2022-05-17
9.4			2022-05-18
2.0			2022-05-19
0.0			2022-05-20
0.0			2022-05-23
1.1			2022-05-24
2.2			2022-05-26
1.8			2022-05-27
0.0			2022-05-28
7.7			2022-05-29
