rain	temp_min	temp_max	date
37.2			2021-07-27
11.1			2021-08-18
11.1			2021-08-18
82.7			2021-11-07
16.5			2021-11-19
105.0			2021-11-26
81.2			2021-12-13
70.5			2022-01-04
75.5			2022-01-10
7.1			2022-01-12
1.5			2022-01-16
24.5			2022-02-07
18.1			2022-02-08
54.4			2022-02-27
10.6			2022-03-02
96.5			2022-11-09
32.2			2022-11-12
27.5			2022-11-13
38.1			2022-12-21
57.5			2022-12-22
100.1			2023-01-22
12.2			2023-02-05
5.2			2023-02-06
34.1			2023-02-07
38.1			2023-02-19
148.5			2023-02-20
44.2			2023-02-21
17.5			2023-04-28
15.5			2023-08-07
29.2			2023-11-27
62.5			2023-11-28
21.2			2023-12-14
32.1			2023-12-20
9.0			2023-12-25
74.4			2023-12-28
73.5			2024-01-01
108.2			2024-01-09
96.9			2024-01-11
10.4			2024-01-28
4.7			2024-01-30
12.1			2024-02-16
