date	rain	min_temp	max_temp
2019-07-26	10.9		
2019-11-05	30.7		
2020-09-19	46.4		
2021-05-05	44.5		
2021-07-03	5.4		
2021-07-06	43.0		
2021-07-13	13.3		
2021-07-17	10.1		
2021-07-29	13.4		
2021-08-06	5.5		
2021-08-07	10.0		
2021-08-13	25.0		
2021-08-30	41.4		
2021-09-06	45.4		
2021-09-07	12.7		
2021-09-08	3.2		
2021-09-09	5.1		
2021-09-11	7.3		
2021-09-27	60.5		
2021-09-29	23.2		
2021-10-07	8.4		
2021-10-11	51.4		
2021-10-12	19.5		
2021-10-13	39.2		
2021-10-22	51.0		
2021-10-26	60.5		
2021-11-01	98.2		
2021-11-08	87.2		
2021-11-09	112.2		
2021-11-19	19.2		
2021-11-27	45.6		
2021-11-29	60.2		
2022-01-01	16.2		
2022-03-08	8.3		
2022-03-11	1.4		
2022-03-16	8.5		
2022-03-19	13.2		
2022-03-29	7.1		
2022-03-30	16.2		
2022-03-31	34.0		
2022-04-01	2.0		
2022-04-02	17.4		
2022-04-04	33.1		
2022-04-07	29.1		
2022-04-19	8.3		
2022-04-22	7.4		
2022-04-26	41.2		
2022-04-27	41.2		
2022-04-29	48.0		
2022-04-30	8.0		
2022-05-18	20.0		
2022-05-24	13.5		
2022-05-26	30.6		
2022-05-27	68.6		
2022-05-31	126.1		
2022-06-04	3.6		
2022-07-15	12.5		
2022-07-16	8.2		
2022-07-18	6.2		
2022-07-23	21.3		
2022-07-27	30.3		
2022-08-01	43.4		
2022-08-04	46.8		
2022-08-06	22.5		
2022-08-23	29.3		
2022-10-01	41.0		
2022-10-03	41.1		
2022-10-04	13.5		
2022-10-12	27.7		
2022-10-15	85.8		
2022-10-17	38.3		
2022-10-19	42.3		
2022-10-21	47.2		
2022-10-22	45.2		
2022-10-25	58.0		
2022-10-26	32.2		
2022-10-27	16.3		
2022-10-31	48.7		
2022-11-02	57.5		
2022-11-04	43.5		
2022-11-05	46.3		
2022-11-12	18.3		
2022-12-23	26.8		
2022-12-27	34.7		
2023-01-17	71.7		
2023-03-14	3.3		
2023-03-16	33.6		
2023-03-17	38.3		
2023-04-08	13.0		
2023-04-10	9.2		
2023-04-17	45.2		
2023-04-18	11.1		
2023-04-20	7.0		
2023-04-24	42.0		
2023-05-10	44.3		
2023-05-13	12.2		
2023-05-15	12.2		
2023-05-27	17.5		
2023-06-15	8.5		
2023-06-20	4.6		
2023-06-26	35.0		
2023-06-28	18.5		
2023-08-29	8.3		
2023-09-04	86.3		
2023-09-07	58.3		
2023-09-08	56.5		
2023-09-11	23.6		
2023-09-12	28.3		
2023-09-13	3.8		
2023-09-14	29.4		
2023-09-15	46.5		
2023-09-22	33.0		
2023-09-25	11.2		
2023-09-27	53.3		
2023-10-09	20.5		
2023-10-16	41.1		
2023-10-26	18.3		
2023-10-30	44.3		
2023-10-31	77.2		
2023-11-02	58.6		
2023-11-07	46.0		
2023-11-08	51.5		
2023-11-09	49.6		
2023-11-10	123.4		
2023-11-20	127.0		
2023-12-02	33.3		
2023-12-09	41.0		
2024-01-02	130.0		
2024-01-31	74.9		
2024-02-24	15.0		
2024-03-09	21.0		
2024-03-20	14.9		
2024-04-24	30.0		
2024-06-18	7.8		
2024-08-31	46.5		
2024-09-09	16.5		
2024-10-22	74.4		
2024-10-26	35.5		
2024-11-02	76.5		
2024-11-05	71.6		
2024-11-19	70.7		
2025-02-02	0.5		
2025-02-03	0.5		
2025-03-20	44.0		
2025-04-19	5.6		
2025-04-30	36.1		
2025-06-26	22.5		
2025-06-27	17.8		
2025-07-21	4.5		
2025-07-25	10.3		
2025-08-05	13.5		
2025-08-12	36.6		
2025-08-16	5.8		
2025-08-29	25.9		
2025-09-29	1.9		
