rain	temp_min	temp_max	date
15.5			2021-06-28
5.5			2021-06-29
6.5			2021-06-30
5.0			2021-07-04
76.5			2021-07-05
1.0			2021-07-05
31.0			2021-07-08
108.5			2021-07-10
12.0			2021-07-12
4.5			2021-07-15
3.0			2021-07-16
10.0			2021-07-23
11.5			2021-07-24
11.5			2021-07-24
29.0			2021-07-26
4.0			2021-07-28
11.5			2021-07-29
41.0			2021-08-07
34.5			2021-08-09
1.0			2021-08-14
11.5			2021-08-21
57.5			2021-08-26
1.0			2021-08-31
1.5			2021-09-01
35.0			2021-09-02
21.0			2021-09-08
1.0			2021-09-10
4.5			2021-09-12
24.5			2021-09-15
1.0			2021-10-08
1.0			2021-10-14
11.5			2021-10-16
21.0			2021-10-17
4.5			2021-10-19
143.7			2021-11-01
37.5			2021-11-05
90.0			2021-11-07
22.0			2021-12-05
43.0			2021-12-07
11.5			2021-12-10
19.0			2021-12-11
3.5			2021-12-12
65.4			2021-12-17
10.0			2021-12-20
25.0			2022-01-13
4.0			2022-01-15
39.0			2022-01-17
2.0			2022-01-20
1.5			2022-02-06
20.0			2022-02-07
83.0			2022-02-13
16.5			2022-02-15
76.0			2022-02-24
18.0			2022-02-26
30.0			2022-03-09
8.5			2022-03-10
15.0			2022-03-11
45.0			2022-03-13
11.5			2022-03-15
46.0			2022-03-16
3.5			2022-03-21
52.0			2022-04-03
26.0			2022-04-26
18.0			2022-05-01
150.0			2022-05-02
33.5			2022-05-03
1.0			2022-05-09
38.5			2022-05-10
75.2			2022-05-14
3.0			2022-05-22
29.0			2022-05-29
122.5			2022-05-31
3.0			2022-06-05
43.0			2022-06-06
3.0			2022-06-09
11.0			2022-06-10
10.0			2022-06-11
7.0			2022-06-13
14.5			2022-07-15
13.0			2022-07-16
15.0			2022-07-17
43.5			2022-07-22
14.0			2022-07-23
75.5			2022-07-28
21.5			2022-07-31
78.5			2022-08-01
13.5			2022-08-07
1.0			2022-08-18
4.0			2022-08-21
4.5			2022-08-25
150.5			2022-09-01
11.5			2022-09-03
45.0			2022-09-04
9.0			2022-09-07
1.0			2022-09-17
1.5			2022-09-19
13.5			2022-09-22
41.5			2022-10-01
19.0			2022-10-02
28.0			2022-10-06
12.0			2022-10-07
111.5			2022-10-13
160.5			2022-10-15
77.5			2022-10-17
50.0			2022-10-22
51.0			2022-10-25
11.0			2022-10-28
100.0			2022-11-01
141.5			2022-11-07
41.0			2022-11-10
43.0			2022-11-13
16.0			2022-11-17
29.0			2022-11-30
17.0			2022-12-02
27.5			2022-12-06
21.0			2022-12-10
13.0			2022-12-11
70.0			2022-12-15
18.0			2022-12-16
2.0			2023-01-21
141.5			2023-02-04
7.5			2023-02-06
31.0			2023-02-10
40.0			2023-02-11
3.5			2023-02-24
34.5			2023-02-25
1.0			2023-04-09
1.0			2023-04-10
5.0			2023-04-14
1.0			2023-04-15
31.0			2023-04-16
1.0			2023-04-18
3.5			2023-04-20
42.5			2023-04-25
76.0			2023-05-02
62.5			2023-05-05
2.0			2023-05-06
50.0			2023-05-11
30.0			2023-05-13
115.7			2023-05-15
70.0			2023-09-06
16.0			2023-09-09
19.5			2023-09-10
51.0			2023-09-11
27.0			2023-09-13
61.5			2023-09-15
3.0			2023-09-16
36.0			2023-09-18
89.0			2023-09-20
5.0			2023-09-21
53.0			2023-09-23
3.0			2023-09-24
15.0			2023-09-25
74.0			2023-11-01
30.0			2023-11-03
83.0			2023-11-06
52.5			2023-11-08
35.0			2023-11-09
76.0			2023-11-13
29.0			2023-11-18
11.0			2023-11-24
25.0			2023-11-25
12.5			2023-11-26
43.0			2023-11-29
96.5			2023-12-04
40.0			2023-12-05
27.0			2023-12-06
10.0			2023-12-07
81.0			2023-12-08
14.5			2023-12-10
25.0			2023-12-12
51.5			2023-12-13
45.0			2023-12-14
119.5			2023-12-16
100.0			2023-12-17
100.0			2023-12-18
50.0			2023-12-20
4.5			2023-12-23
9.0			2023-12-26
22.0			2023-12-31
62.0			2024-01-01
87.5			2024-01-02
6.0			2024-01-04
10.0			2024-01-05
55.0			2024-01-07
2.0			2024-01-12
2.5			2024-01-14
38.5			2024-01-20
5.4			2024-01-21
1.5			2024-01-22
37.0			2024-01-23
37.0			2024-01-24
81.0			2024-01-31
4.0			2024-02-03
25.0			2024-02-04
41.5			2024-02-05
55.0			2024-02-06
5.0			2024-02-13
5.0			2024-02-14
2.5			2024-02-18
