date	rain	min_temp	max_temp
2019-02-20	2.4		
2019-10-30	117.4		
2021-07-12	8.6		
2021-07-24	16.1		
2021-07-30	0.0		
2021-09-03	22.5		
2021-09-09	9.4		
2021-09-11	5.4		
2021-09-15	9.3		
2021-09-21	42.2		
2021-10-07	4.2		
2021-10-08	3.4		
2021-10-26	33.9		
2021-11-22	0.0		
2021-11-25	71.8		
2021-12-03	68.8		
2021-12-04	29.3		
2022-01-15	0.4		
2022-01-27	7.2		
2022-03-14	1.2		
2022-04-25	40.0		
2022-06-06	5.0		
2022-07-02	0.0		
2022-10-11	14.3		
2022-11-30	45.7		
2022-12-23	26.4		
2022-12-29	4.4		
2023-01-21	2.9		
2023-02-07	26.9		
2023-02-17	0.0		
2023-04-20	0.9		
2023-05-20	7.5		
2023-05-22	21.8		
2023-08-18	15.9		
2023-09-01	62.6		
2023-09-07	45.1		
2023-09-11	32.1		
2023-09-15	61.4		
2023-09-16	0.4		
2023-09-18	45.0		
2023-10-11	58.9		
2023-11-25	11.6		
2023-11-27	16.0		
2023-11-30	60.7		
2024-02-02	24.4		
2024-02-06	20.5		
2024-03-15	1.5		
2024-04-01	17.7		
2024-06-05	17.6		
2024-06-07	29.1		
2024-08-21	122.5		
2024-08-22	45.0		
2024-08-31	63.5		
2024-12-23	10.8		
2025-01-28	0.2		
2025-03-04	2.5		
2025-03-10	4.0		
2025-05-02	19.2		
2025-05-03	86.1		
