date	rain	min_temp	max_temp
2019-02-11	21.0		
2020-05-15	16.3		
2020-09-19	66.6		
2021-07-10	78.0		
2021-07-17	2.3		
2021-08-09	54.0		
2021-08-13	152.9		
2021-08-30	26.9		
2021-08-31	0.3		
2021-09-07	11.8		
2021-09-29	17.9		
2021-10-13	17.0		
2021-10-27	54.3		
2021-10-30	45.4		
2021-11-04	61.0		
2021-12-03	38.3		
2022-03-30	25.2		
2022-03-31	21.5		
2022-04-01	8.2		
2022-04-02	15.9		
2022-04-22	9.0		
2022-04-27	8.7		
2022-05-13	55.6		
2022-05-23	4.1		
2022-05-30	36.4		
2022-06-04	1.4		
2022-06-23	3.8		
2022-07-01	20.5		
2022-07-18	1.1		
2022-07-19	14.1		
2022-07-20	26.9		
2022-07-21	6.7		
2022-07-30	25.9		
2022-08-04	31.1		
2022-08-05	22.2		
2022-08-06	10.1		
2022-08-30	30.0		
2022-09-02	16.6		
2022-09-06	154.4		
2022-10-03	23.0		
2022-10-04	12.9		
2022-10-14	83.8		
2022-10-21	54.9		
2022-10-24	51.0		
2022-11-02	44.6		
2022-11-08	60.6		
2022-11-14	48.2		
2022-11-28	14.3		
2022-12-19	105.4		
2022-12-24	16.3		
2022-12-28	24.0		
2023-02-01	20.2		
2023-03-16	5.6		
2023-03-17	33.6		
2023-03-24	42.6		
2023-04-01	5.6		
2023-04-17	37.2		
2023-04-18	15.3		
2023-04-20	7.8		
2023-04-25	32.4		
2023-05-08	8.0		
2023-05-30	20.0		
2023-07-01	3.2		
2023-07-13	0.6		
2023-07-15	1.4		
2023-08-19	0.4		
2023-10-10	45.1		
2023-10-11	58.1		
2023-10-16	34.6		
2023-11-02	103.2		
2023-11-03	40.9		
2023-11-06	108.9		
2024-01-31	30.6		
2024-02-01	77.2		
2024-04-04	12.2		
2024-05-13	64.0		
2024-05-14	55.6		
2024-05-29	17.6		
2024-05-30	74.2		
2024-05-31	20.6		
2024-06-28	5.1		
2024-11-06	35.2		
2025-01-30	33.6		
2025-03-12	70.6		
2025-03-14	7.5		
2025-03-15	15.5		
2025-03-19	29.1		
2025-03-28	27.4		
2025-04-02	37.9		
2025-04-04	68.5		
2025-04-05	67.7		
2025-04-08	54.6		
2025-04-17	16.3		
2025-04-24	44.9		
