rain	temp_min	temp_max	date
12.9			2021-07-15
0.0			2021-07-20
0.0			2021-07-21
5.0			2021-07-28
0.0			2021-08-01
0.0			2021-08-20
25.0			2021-08-23
25.0			2021-08-23
12.0			2021-10-09
115.0			2021-11-04
69.5			2021-11-12
71.0			2021-11-27
25.5			2021-12-02
93.0			2021-12-17
21.3			2021-12-18
4.0			2021-12-30
73.0			2021-12-31
32.3			2022-01-01
60.0			2022-01-02
2.0			2022-01-30
53.0			2022-02-11
18.0			2022-03-26
28.0			2022-04-14
21.7			2022-07-24
4.4			2022-08-17
57.0			2022-10-22
50.0			2022-10-25
21.0			2022-10-30
53.3			2022-10-31
124.0			2022-11-11
16.8			2022-12-01
0.0			2023-01-29
131.3			2023-02-02
0.0			2023-02-09
0.0			2023-02-12
0.0			2023-02-14
0.0			2023-02-15
0.0			2023-02-16
0.0			2023-02-18
0.0			2023-02-23
0.0			2023-02-24
0.0			2023-04-11
0.0			2023-04-12
0.0			2023-04-13
0.0			2023-04-14
0.0			2023-04-19
16.0			2023-04-23
58.0			2023-05-07
111.0			2023-09-18
33.6			2023-10-30
33.0			2023-11-18
33.0			2023-11-18
50.0			2023-11-19
13.7			2023-11-26
34.4			2023-12-17
34.4			2023-12-18
36.0			2023-12-22
36.5			2023-12-23
7.5			2023-12-25
44.0			2024-01-20
