date	rain	min_temp	max_temp
2018-11-19	27.4		
2020-08-11	12.3		
2020-09-19	84.9		
2021-06-28	21.0		
2021-07-05	5.0		
2021-07-13	12.5		
2021-07-15	6.5		
2021-07-26	24.8		
2021-07-28	8.6		
2021-07-29	22.3		
2021-08-02	3.9		
2021-08-03	2.5		
2021-08-06	16.1		
2021-08-07	23.7		
2021-08-12	20.4		
2021-08-13	56.4		
2021-08-14	19.6		
2021-08-18	5.5		
2021-09-02	33.4		
2021-09-03	25.5		
2021-09-07	32.6		
2021-09-14	26.1		
2021-09-28	29.7		
2021-09-29	21.5		
2021-10-11	75.3		
2021-10-13	40.8		
2021-10-15	3.4		
2021-11-11	15.0		
2021-11-13	17.5		
2021-11-16	42.4		
2021-11-20	27.8		
2022-02-12	11.8		
2022-03-19	18.5		
2022-08-20	4.0		
2022-08-22	33.0		
2022-08-23	94.0		
2022-08-25	7.8		
2022-08-29	21.4		
2022-09-08	10.0		
2022-10-04	15.6		
2023-01-18	7.5		
2023-05-13	27.5		
2023-06-20	3.5		
2023-06-28	37.8		
2023-06-29	1.8		
2023-07-01	6.0		
2023-07-04	115.8		
2023-07-06	59.0		
2023-07-07	2.5		
2023-07-12	3.6		
2023-08-02	1.0		
2023-08-14	6.0		
2023-08-31	15.0		
2023-11-09	39.1		
2024-05-13	65.0		
2024-05-29	51.2		
2024-05-30	88.3		
2024-05-31	16.0		
2024-06-17	5.0		
2024-06-25	71.0		
2024-06-26	29.7		
2024-07-09	5.5		
2024-07-17	11.9		
2024-07-18	21.0		
2024-07-31	5.5		
2024-09-26	6.0		
2025-01-30	32.1		
2025-05-02	3.1		
