rain	temp_min	temp_max	date
2.5			2021-07-03
98.6			2021-10-06
6.6			2021-10-08
84.5			2021-11-01
41.0			2021-11-05
16.3			2022-03-29
44.8			2022-05-20
5.6			2022-09-03
130.6			2022-10-14
36.3			2022-11-12
21.4			2023-02-08
31.2			2023-04-29
49.0			2023-05-02
36.0			2023-05-03
24.8			2023-09-09
74.0			2023-09-20
74.0			2023-11-02
56.2			2023-11-06
36.5			2023-11-07
44.8			2023-11-09
41.2			2023-11-15
92.2			2023-11-20
10.4			2023-12-07
139.2			2023-12-19
110.7			2024-01-02
34.0			2024-02-02
