date	rain	min_temp	max_temp
2021-06-28	32.6	22.4	31.3
2021-07-10	134.0	22.9	28.8
2021-07-29	11.7	23.0	30.8
2021-08-12	20.0	24.0	30.6
2021-08-25	2.8	23.2	31.5
2021-09-15	3.7	24.2	31.7
2021-10-03	0.0	23.3	31.2
2021-10-13	18.4	23.5	29.3
2021-10-19	5.8	23.4	31.1
2021-11-08	62.4	21.8	27.5
2021-11-24	10.8	23.8	31.5
2021-11-25	55.7	23.1	30.0
2021-12-29	0.0	21.6	33.8
2022-01-01	6.8	22.1	31.6
2022-01-06	8.4	21.7	32.2
2022-01-22	0.0	17.8	33.6
2022-01-30	0.0	22.5	35.2
2022-01-31	0.0	23.2	34.9
2022-03-10	0.4	24.0	34.6
2022-04-10	10.4	23.0	31.7
2022-04-16	0.0	24.4	34.8
2022-04-21	2.7	24.9	34.5
2022-05-12	24.6	24.2	
2022-08-01	28.9	23.6	30.1
2022-08-04	22.3	23.0	28.3
2022-09-05	22.8	23.2	29.2
2022-09-17	0.0	21.7	33.1
2022-10-01	43.4	23.6	30.8
2022-10-14	57.5	23.0	28.4
2022-10-15	111.6	22.5	26.9
2022-10-16	23.1	22.5	28.6
2022-10-24	22.6	23.5	30.2
2022-11-04	36.6	23.2	29.8
2022-11-25	0.0	21.5	32.7
2022-12-04	63.4	21.6	31.5
2022-12-09	0.4	19.3	27.7
2022-12-11	20.9	21.5	28.3
2023-01-20	0.0	19.5	31.5
2023-01-24	0.0	22.8	31.0
2023-01-26	3.7	21.9	32.7
2023-02-04	23.2	22.9	30.3
2023-02-16	0.0	21.1	33.7
2023-02-23	0.2	22.0	34.1
2023-04-11	1.4	21.8	33.2
2023-04-28	5.1	23.4	32.5
2023-05-09	33.8	23.4	32.5
2023-08-21	0.0	23.4	34.8
2023-09-03	45.9	23.0	30.6
2023-09-12	43.6	22.5	29.6
2023-11-08	1.7	22.4	32.5
2023-11-09	1.9	23.5	33.9
2023-11-29	74.5	23.0	32.2
2023-12-02	1.3	23.2	31.0
2023-12-14	1.3	22.6	32.8
2023-12-26	46.9	21.6	34.4
2023-12-28	6.4	23.9	33.3
2024-01-13	0.0	21.4	34.6
2024-01-17	0.0	20.5	33.4
