date	rain	temp_min	temp_max
2024-02-04	0.0		
2024-02-03	0.0		
2023-09-08	0.0		
2023-08-07	0.0		
2023-04-15	0.0		
2023-04-13	0.0		
2023-02-25	0.0		
2023-02-23	0.0		
2023-02-21	3.3		
2023-02-20	14.0		
2023-02-19	0.0		
2023-02-17	0.0		
2023-02-16	0.0		
2023-02-15	0.0		
2023-02-14	0.0		
2023-02-13	0.0		
2023-02-11	0.0		
2023-02-10	0.0		
2023-02-04	0.0		
2022-07-16	0.2		
2022-01-05	0.0		
2021-12-28	0.0		
2021-09-22	1.2		
2021-08-27	19.0		
2021-08-25	0.0		
2021-08-23			
2021-08-23			
2021-08-21	0.0		
2021-08-20	0.0		
2021-08-18	0.0		
2021-08-18	0.0		
2021-08-16	2.5		
2021-08-15	1.5		
2021-08-14	4.2		
2021-08-13	56.0		
2021-08-12			
2021-08-10	20.0		
2021-08-09	93.2		
2021-08-07			
2021-08-03	0.0		
2021-08-03	0.0		
2021-08-02			
2021-08-01	0.0		
2021-07-31	0.0		
2021-07-30	0.0		
2021-07-29			
2021-07-28	0.0		
2021-07-27	85.2		
2021-07-26	6.3		
2021-07-24	108.0		
2021-07-24	108.0		
2021-07-23	60.0		
2021-07-21	0.0		
2021-07-20	0.0		
2021-07-19	16.5		
2021-07-18			
2021-07-17			
2021-07-16	3.0		
2021-07-15			
2021-07-14	0.0		
2021-07-13	30.0		
2021-07-12	7.0		
2021-07-10			
2021-07-09			
2021-07-08			
2021-07-06	11.4		
2021-07-05	4.3		
2021-07-05	6.0		
2021-07-04	0.0		
2021-07-03	0.0		
2021-07-02	12.5		
2021-06-30	0.0		
2021-06-29	0.0		
2021-06-28			
