rain	temp_min	temp_max	date
36.7			2021-06-28
16.1			2021-06-30
98.0			2021-07-02
6.0			2021-07-03
38.5			2021-07-05
25.7			2021-07-08
41.0			2021-07-09
15.2			2021-07-12
28.8			2021-07-24
28.8			2021-07-24
60.0			2021-07-26
3.0			2021-07-28
5.6			2021-07-29
35.7			2021-08-07
13.2			2021-08-21
20.9			2021-08-25
71.1			2021-08-27
13.0			2021-09-01
51.2			2021-09-02
15.2			2021-09-13
22.3			2021-09-15
60.5			2021-09-16
120.5			2021-10-06
20.3			2021-10-07
27.0			2021-10-18
52.2			2021-10-28
45.2			2021-11-05
121.0			2021-11-08
112.3			2021-11-10
24.4			2021-11-19
113.4			2021-11-29
35.5			2021-12-15
35.0			2022-01-08
23.0			2022-01-18
65.5			2022-02-12
35.0			2022-02-25
10.2			2022-02-26
25.2			2022-04-25
131.8			2022-05-02
15.2			2022-05-03
25.0			2022-05-05
40.0			2022-05-12
81.2			2022-05-14
29.4			2022-06-06
25.8			2022-06-07
10.0			2022-06-08
12.4			2022-06-09
12.3			2022-06-13
105.8			2022-07-28
30.0			2022-08-19
12.1			2022-08-22
19.2			2022-08-29
160.4			2022-09-01
20.0			2022-09-03
15.2			2022-09-07
5.1			2022-09-22
5.2			2022-09-23
13.0			2022-10-05
10.0			2022-10-08
148.2			2022-10-14
83.0			2022-10-17
25.1			2022-10-27
15.2			2022-10-28
24.5			2022-11-16
62.6			2022-12-10
17.4			2022-12-12
31.5			2022-12-16
35.8			2022-12-17
14.3			2023-01-26
7.6			2023-02-09
5.9			2023-02-10
16.5			2023-02-11
51.3			2023-02-20
22.3			2023-04-25
83.7			2023-05-11
16.2			2023-05-13
93.7			2023-05-15
6.0			2023-09-09
34.2			2023-09-15
39.8			2023-09-18
126.4			2023-09-20
63.8			2023-09-23
10.0			2023-09-25
44.0			2023-10-30
38.5			2023-11-03
55.0			2023-11-06
35.0			2023-11-07
95.0			2023-11-13
75.5			2023-11-23
40.0			2023-11-24
62.0			2023-11-25
28.0			2023-11-27
65.0			2023-11-28
35.0			2023-11-29
13.7			2023-12-03
160.5			2023-12-04
32.0			2023-12-07
95.0			2023-12-12
28.0			2023-12-14
105.0			2023-12-15
25.3			2023-12-21
2.6			2024-01-05
45.0			2024-01-08
40.0			2024-01-20
9.0			2024-01-30
70.0			2024-01-31
30.0			2024-02-02
20.0			2024-02-05
8.0			2024-02-06
5.0			2024-02-18
