rain	temp_min	temp_max	date
0.0	11.8	20.9	2021-06-29
	14.4	22.2	2021-06-30
4.2	13.7	20.7	2021-07-02
0.1	12.6	19.9	2021-07-03
0.0	11.9	21.4	2021-07-04
14.8	11.8	22.6	2021-07-05
0.1	14.4	19.4	2021-07-05
14.6	13.4	21.2	2021-07-06
0.7	15.2	21.5	2021-07-08
0.1	13.7	21.9	2021-07-09
91.9	12.7	17.6	2021-07-10
		16.3	2021-07-12
3.8	14.1	16.4	2021-07-13
0.0	13.7	18.9	2021-07-14
0.2	14.2	18.7	2021-07-15
0.0	13.7	20.0	2021-07-16
0.2	13.7	20.2	2021-07-17
1.4	14.5	20.3	2021-07-18
0.3	13.8	20.7	2021-07-19
0.0	13.6	19.5	2021-07-20
0.0	14.0	20.2	2021-07-21
1.4	13.5	17.6	2021-07-23
15.8	14.0	16.6	2021-07-24
15.8	14.0	16.6	2021-07-24
5.4	13.3	18.7	2021-07-26
14.1	13.8	18.7	2021-07-27
0.4	14.3	19.6	2021-07-28
2.8	14.2	19.4	2021-07-29
0.0	13.7	20.5	2021-07-30
0.0	13.1	20.2	2021-07-31
0.0	13.2	21.5	2021-08-01
0.0	13.5	20.1	2021-08-02
	13.1	18.0	2021-08-03
	13.1	18.0	2021-08-03
1.3	14.7	19.2	2021-08-06
1.9	15.0	18.8	2021-08-07
5.6	14.4	18.0	2021-08-09
2.1	14.6	19.0	2021-08-10
20.5	14.4	20.2	2021-08-12
15.9	12.9	17.6	2021-08-13
0.7	14.0	20.0	2021-08-14
3.4	12.6	18.2	2021-08-15
	13.3	20.0	2021-08-16
0.2	13.8	18.4	2021-08-18
0.2	13.8	18.4	2021-08-18
0.0	13.1	19.6	2021-08-20
0.9	14.3	21.7	2021-08-21
0.0	12.4	19.2	2021-08-23
0.0	12.4	19.2	2021-08-23
0.2	13.6	20.6	2021-08-25
7.8			2021-08-26
3.7			2021-08-27
16.9			2021-08-29
17.4			2021-08-30
2.2			2021-08-31
0.8			2021-09-02
2.9			2021-09-03
1.9			2021-09-04
19.5			2021-09-06
4.2			2021-09-07
0.0			2021-09-08
0.0			2021-09-10
0.3			2021-09-13
1.2			2021-09-14
0.6			2021-09-15
0.3			2021-09-16
0.0			2021-09-19
2.1			2021-09-21
0.7			2021-09-22
0.0			2021-09-24
50.7			2021-09-25
0.1			2021-09-26
41.7			2021-09-27
10.6			2021-09-28
8.8			2021-09-29
0.3			2021-09-30
2.4			2021-10-01
66.2			2021-10-02
4.6			2021-10-03
0.5			2021-10-04
13.5			2021-10-06
2.1			2021-10-07
0.0			2021-10-08
0.7			2021-10-10
35.2			2021-10-11
7.5			2021-10-12
7.4			2021-10-13
0.4			2021-10-14
1.5			2021-10-16
1.5			2021-10-17
1.0			2021-10-18
6.7			2021-10-20
5.9			2021-10-21
20.4			2021-10-22
3.3			2021-10-23
81.9			2021-10-24
1.4			2021-10-25
3.9			2021-10-26
34.9			2021-10-27
0.0			2021-10-28
40.7			2021-10-30
30.4			2021-10-31
4.9			2021-11-01
24.3			2021-11-02
8.3			2021-11-03
32.9			2021-11-04
0.8			2021-11-05
14.7			2021-11-07
18.8			2021-11-08
16.8			2021-11-09
7.0			2021-11-10
6.3			2021-11-11
5.7			2021-11-12
4.9			2021-11-13
0.7			2021-11-14
6.0			2021-11-15
4.7			2021-11-16
3.8			2021-11-18
0.3			2021-11-19
16.2			2021-11-20
0.0			2021-11-21
0.0			2021-11-22
0.0			2021-11-23
18.0			2021-11-24
13.4			2021-11-25
9.0			2021-11-26
7.0			2021-11-27
12.4			2021-11-28
8.4			2021-11-29
0.6			2021-11-30
0.0			2021-12-02
12.5			2021-12-03
0.0			2021-12-04
0.0			2021-12-05
7.1			2021-12-06
0.0			2021-12-07
0.0			2021-12-08
7.2			2021-12-09
0.0			2021-12-10
2.4			2021-12-11
0.6			2021-12-12
18.6			2021-12-13
7.3			2021-12-14
2.0			2021-12-15
1.0			2021-12-16
0.0			2021-12-17
0.0			2021-12-18
17.4			2021-12-19
0.0			2021-12-20
0.0			2021-12-21
0.0			2021-12-22
0.2			2021-12-23
0.0			2021-12-24
0.0			2021-12-25
0.0			2021-12-26
0.0			2021-12-27
0.0			2021-12-28
0.0			2021-12-29
0.0			2021-12-30
0.8			2021-12-31
1.5			2022-01-01
0.3			2022-01-02
3.2			2022-01-03
3.6			2022-01-04
12.2			2022-01-05
14.6			2022-01-06
0.5			2022-01-07
0.0			2022-01-08
1.0			2022-01-09
2.9			2022-01-10
1.1			2022-01-11
0.4			2022-01-13
0.0			2022-01-14
0.0			2022-01-15
0.0			2022-01-16
0.0			2022-01-17
0.0			2022-01-18
0.0			2022-01-19
0.0			2022-01-20
0.0			2022-01-21
0.0			2022-01-22
0.0			2022-01-23
0.0			2022-01-24
0.0			2022-01-25
0.0			2022-01-26
0.0			2022-01-28
0.0			2022-01-29
0.0			2022-01-30
0.0			2022-01-31
0.0			2022-02-01
0.0			2022-02-03
0.0			2022-02-04
0.0			2022-02-05
0.0			2022-02-06
0.0			2022-02-07
0.0			2022-02-09
7.3			2022-02-10
3.3			2022-02-11
0.1			2022-02-12
16.4			2022-02-13
0.6			2022-02-14
0.0			2022-02-15
0.0			2022-02-16
0.0			2022-02-17
0.0			2022-02-18
1.4			2022-02-19
3.4			2022-02-20
0.0			2022-02-21
0.0			2022-02-22
0.0			2022-02-23
1.9			2022-02-24
1.5			2022-02-27
0.0			2022-02-28
0.0			2022-03-01
4.3			2022-03-03
0.1			2022-03-04
0.7			2022-03-05
0.0			2022-03-06
0.0			2022-03-07
17.3			2022-03-08
0.0			2022-03-09
0.0			2022-03-10
0.0			2022-03-11
0.2			2022-03-12
6.3			2022-03-13
0.0			2022-03-15
0.0			2022-03-16
0.0			2022-03-17
7.6			2022-03-18
20.4			2022-03-19
0.0			2022-03-21
0.0			2022-03-22
0.0			2022-03-23
0.0			2022-03-24
0.0			2022-03-25
0.9			2022-03-26
0.5			2022-03-28
0.1			2022-03-29
0.0			2022-03-30
3.5			2022-03-31
0.0			2022-04-01
0.0			2022-04-02
12.2			2022-04-03
2.8			2022-04-04
29.5			2022-04-06
10.1			2022-04-07
28.8			2022-04-08
19.6			2022-04-09
4.4			2022-04-10
3.2			2022-04-11
0.2			2022-04-12
17.1			2022-04-13
0.4			2022-04-14
1.0			2022-04-15
21.0			2022-04-16
8.9			2022-04-17
2.8			2022-04-18
0.0			2022-04-19
0.0			2022-04-21
0.0			2022-04-22
13.7			2022-04-23
16.9			2022-04-24
0.0			2022-04-25
0.0			2022-04-26
0.0			2022-04-28
13.0			2022-04-29
7.0			2022-04-30
2.4			2022-05-01
0.0			2022-05-02
0.0			2022-05-03
0.0			2022-05-04
0.0			2022-05-07
0.0			2022-05-08
0.0			2022-05-09
7.8			2022-05-10
2.5			2022-05-12
18.3			2022-05-13
17.1			2022-05-14
20.4			2022-05-15
9.7			2022-05-16
10.7			2022-05-17
14.1			2022-05-18
12.7			2022-05-19
3.3			2022-05-20
1.1			2022-05-22
0.1			2022-05-23
1.0			2022-05-24
4.9			2022-05-25
0.0			2022-05-26
1.0			2022-05-27
0.3			2022-05-28
4.4			2022-05-29
5.2			2022-05-30
7.5			2022-05-31
19.3			2022-06-01
3.9			2022-06-03
0.7			2022-06-07
0.1			2022-06-08
0.2			2022-06-09
0.0			2022-06-14
0.2			2022-06-23
0.7			2022-07-12
0.2			2022-07-13
1.2			2022-07-14
11.8			2022-07-15
5.6			2022-07-16
0.3			2022-07-17
0.1			2022-07-19
5.7			2022-07-20
4.5			2022-07-21
7.4			2022-07-22
6.0			2022-07-23
1.1			2022-07-24
17.4			2022-07-26
9.0			2022-07-27
4.5			2022-07-28
0.6			2022-07-29
0.1			2022-07-30
1.3			2022-07-31
16.1			2022-08-01
41.7			2022-08-04
20.2			2022-08-05
0.9			2022-08-07
0.1			2022-08-08
0.1			2022-08-09
0.0			2022-08-11
0.0			2022-08-12
0.0			2022-08-14
0.0			2022-08-15
1.4			2022-08-17
2.4			2022-08-18
9.2			2022-08-19
1.6			2022-08-22
21.8			2022-08-23
0.2			2022-08-25
0.3			2022-08-29
21.6			2022-08-31
14.9			2022-09-01
6.7			2022-09-02
0.5			2022-09-03
4.6			2022-09-04
2.8			2022-09-05
35.1			2022-09-06
3.2			2022-09-07
3.4			2022-09-08
0.0			2022-09-09
0.0			2022-09-14
0.2			2022-09-16
0.1			2022-09-19
0.0			2022-09-21
0.0			2022-09-23
0.0			2022-09-24
0.0			2022-09-25
4.5			2022-09-26
0.2			2022-09-27
0.0			2022-09-28
0.5			2022-09-29
5.9			2022-10-01
34.6			2022-10-02
61.0			2022-10-03
7.2			2022-10-04
1.5			2022-10-05
0.3			2022-10-06
1.1			2022-10-07
0.0			2022-10-08
0.1			2022-10-09
0.5			2022-10-10
3.8			2022-10-11
14.5			2022-10-12
6.0			2022-10-13
59.7			2022-10-14
21.5			2022-10-15
2.3			2022-10-16
2.7			2022-10-17
5.5			2022-10-18
7.2			2022-10-19
12.7			2022-10-20
44.8			2022-10-21
5.9			2022-10-22
2.1			2022-10-23
26.9			2022-10-24
2.9			2022-10-25
0.6			2022-10-26
5.0			2022-10-27
0.0			2022-10-28
0.0			2022-10-29
0.0			2022-10-30
47.6			2022-10-31
7.3			2022-11-01
4.0			2022-11-02
1.1			2022-11-04
9.8			2022-11-05
17.8			2022-11-06
0.0			2022-11-07
5.1			2022-11-08
3.8			2022-11-09
0.4			2022-11-10
0.1			2022-11-11
6.4			2022-11-12
1.4			2022-11-13
26.0			2022-11-14
8.8			2022-11-15
0.6			2022-11-16
3.5			2022-11-17
0.0			2022-11-18
0.0			2022-11-20
0.0			2022-11-21
0.0			2022-11-22
0.0			2022-11-23
0.0			2022-11-24
0.0			2022-11-25
0.0			2022-11-26
0.0			2022-11-27
0.7			2022-11-28
0.1			2022-11-29
0.0			2022-11-30
0.0			2022-12-01
0.0			2022-12-02
6.8			2022-12-03
3.7			2022-12-04
3.7			2022-12-06
0.0			2022-12-08
18.6			2022-12-09
