"ld,.=K jd¾;dj வாைிழல அறிக்ழக Weather Report
"u;a;, நத்த஭Mattla","29.0","25.2","0.7",""
"මු඼තිව් முல்ல஬த்தீவு  Mullaithivu","31.7","25.6","0.0",""
"úÿ,s n,d.dr wdY%
; c,dY  நீர்மின் நீவரந்துப் பரப்பு Hydro Catchment Areas","","","",""
"vR;`m`n Sw`nkio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;                Rainfall Stations","","ÉÉ-kp..kP-mm"
"කාසල්රීக஺சல்஫ீச்Castlereigh","16.0","රන්නදණිග඼ இபந்மத஦ிக஬Randenigala","","1.1"
"න ෝටන්ந஥஺ட்டன்Norton","28.0","රන්ටැනේ இபந்தம்ந஧Rantambe","","2.6"
"මාඕස්සාකැනල්மநௌசக்கந஬ Maussakele","6.8","නබෝලතැන්  ந஧஺வத்தன்஦Bowatenna","","66.5"
"කැනියන්கன்னன்Canyon","24.8","උකුනල඼உக்குவ஬Ukuwela","","22.7"
"඼ක්ෂපා ஬க்ச஧஺஦Lakshapana","45.4","සම ළලැලசந஦஬மவவSamanala Wawa","","20.5"
"ඉහ඼ නකොත්මනල්நநல்மக஺த்நல஬Upper Kotmale","14.5","කුකුනල් ගංඟ குக்குந஭கங்கKukuleganaga","","21.0"
"නකොත්මනල් மக஺த்நல஬Kotmale","3.6","මස්නකළියநஸ்நக஬஻னMaskeliya","","22.0"
"වික්නටෝරියාவிக்நப஺஫஻ன஺ Victoriya","1.6","ෑබඩ஥஺ம஧஺லடNeboda","","NA"
"","","","",""
"wksl=;a j¾Idm;k ia:dk ஏழைய நிழலயங்களின் மழழவ ீழ்ச்சி Other Rainfall Stations","","","",""
"vR;`m`nSw`n kio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;   Rainfall Stations","","ÉÉ-kp..kP-mm"
"නව්ලැල්ත඼ාල நவவல்த஬஺வ Wevalthalawa","210.2","යකා ලැලனக்க஺மவவ Yakawawa","","64.6"
"හුරුළු ලැල ஹுறுலுமவவ Huruliwawa","132.0","නදත ග඼ மடட்டணகல்ல஬ Dethanagala","","64.0"
"හබරණ ஹ஧஫ண Habarana Lodge","123.3","නමොණරාග඼ ජ඼සම් மந஺஦஫஺க஬ ஥ீர் Monaragala Water","","63.4"
"පලුගස්දම ஧ழுகஸ்தநண Palugasdamana","92.5","නව්ලැස්ස நவவஸ்ஸWewessa Estate","","54.0"
"ලටල඼ வட்டவ஺஬஺ Watawala","91.3","රබෑලபம்஧஺வ Rambaawa","","53.0"
"කණ්ඩ඼ම கந்த஭ந Kandalama","72.6","පැල්නලනහර ஧ல்மவஹப Pelwehera","","52.4"
"ගුරුළුලා  குறுழுவ஺஦ Guruluwana","70.5","වින්සිටි ලතුයායவின்ச஻ற் Vincit Estate","","50.0"
"මදාතු ගමநட஺த்துகநMadatugama","69.4","නපො඼ටගමம஧஺஬ட்டகந Polatagama","","50.0"
"අංගමැඩිල්඼அங்கந஻டில்஬ Angamedilla","67.5","හඳපා ාග඼ ஹந்த஧஺஦஺க஬ Handapanagala","","48.9"
"ඩයරබා ලතුයායலட஫஧஺ எஸ்நடட்Dyraba Estate","66.0","බකමූණ஧க்கமூ஦Bakamuna","","48.0"
"","","","",""
"Wmßu j¾Idm;kh  / அதிகூடிய மழழவ ீழ்ச்சி/ Highest Rainfall :","","210.2
mm
වේවැල්තලාව வவவல்தலாவ Wevalthalawa (Kandy)","",""
