"ld,.=K jd¾;dj வாைிழல அறிக்ழக Weather Report
 osk Wfoa 0830 g wjika jQ meh 24 i|yd 
2022.02.27
          for the 24 hour period ending at 0830SLTS on this date","","","",""
"k`l²zìq&` m[&Sw`n
tspkz;lytpay;  epiyaq;fs;
Meteorological Stations","@sv@N u:zWvy(@s) 
epoypy; ntg;gepiy( nr)","","vR;`pwny(ÉÉ)
kio tPo;r;rp(kp..kP)
Rainfall (mm)",""
"","Temperature in the shade (°C)","","",""
"","upÝmcaH Max","avm ,opTMin.","Daily Rainfall",""
"wkqrdOmqrhஅநுபாதபுபம்Anuradhapura","31.4","23.8","TR",""
"nÿ,a, ஧துள஭Badulla","27.8","19.2","12.6",""
"nKavdrfj, ஧ண்டாபவள஭Bandarawela","25.1","17.1","6.8",""
"uvl,mqj நட்டக்க஭ப்புBatticaloa","29.4","23.3","17.9",""
"fld<U ககாழும்புColombo","31.9","23.2","3.1",""
".d,a, கா஬ிGalle","31.7","24.0","14.9",""
"yïnkaf;dg ம்஧ாந்ததாட்ளடHambanthota","33.3","25.3","1.2",""
"hdmkh  னாழ்ப்஧ாணம்Jaffna","30.7","24.4","0.0",""
"fudKrd., கநா஦஫ாகள஬ Monaragala","31.6","23.2","0.7",""
"lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota","34.1","21.8","8.1",""
"lgqkdhl  கட்டு஥ானக்காKatunayake","32.0","22.4","5.3",""
"l=reKE., குருணாகல் Kurunagala","35.6","24.0","0.0",""
"uy b¨mam,a,u நஹாஇலுப்஧ல்஬ந Maha Illuppallama","31.5","23.2","0.6",""
"ukakdru நன்஦ார்Mannar","31.2","25.9","0.0",""
"fmdf<dkakrej  க஧ா஬ன்஥றுவ polonnaruwa","30.1","23.0","1.6",""
"kqjrt<sh  நுவகப஬ினாNuwara Eliya","21.4","13.5","1.5",""
"fmd;=ú,a க஧ாத்துவில்Pothuvil","30.9","24.9","9.2",""
"m
;a;,u புத்த஭ம்Puttalam","33.1","23.6","5.0",""
"r;au,dk இபத்ந஬ாள஦Rathmalana","32.4","22.8","30.5",""
"r;akmqrh இபத்தி஦புரிRathnapura","33.6","22.1","0.3",""
";%sl=Kdu,h திருதகாணநள஬Trincomalee","30.2","26.1","TR",""
"jõkshdj வவு஦ினாVavuniya","31.5","23.4","0.0",""
"u;a;, நத்த஭Mattla","33.0","23.6","4.4",""
"මුලතිව් முல்லயத்தீவு  Mullaithivu","30.2","27.1","0.0",""
"úÿ,s n,d.dr wdY%
; c,dY  நீர்மின் நீரரந்துப் பரப்பு Hydro Catchment Areas","","","",""
"vR;`m`n Sw`nkio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;                Rainfall Stations","","ÉÉ-kp..kP-mm"
"කාසල්රීகாசல்மீச்Castlereigh","0.0","ෛන්නෙණිගල இ஭ந்மதனிகயRandenigala","","60.5"
"න ෝටන්ந ாட்டன்Norton","3.8","ෛන්ටැනේ இ஭ந்தம்நபRantambe","","28.6"
"මාඕස්සාකැනල්ம஫ௌசக்கநய Maussakele","0.0","නබෝවතැන්  நபாவத்தன்னBowatenna","","18.6"
"කැනියන්கன்஬ன்Canyon","2.0","උකුනවලஉக்குவயUkuwela","","NA"
"ලක්ෂපා யக்சபானLakshapana","0.0","සම ළවැවச஫னயமவவSamanala Wawa","","6.0"
"ඉහල නකොත්මනල්ந஫ல்மகாத்஫லயUpper Kotmale","28.5","කුකුනල් ගංඟ குக்குநரகங்கKukuleganaga","","4.0"
"නකොත්මනල් மகாத்஫லயKotmale","0.0","මස්නකළිය஫ஸ்நகயி஬Maskeliya","","0.0"
"වික්නටෝරියාவிக்ந஭ாமி஬ா Victoriya","12.1","ෑබඩ ாமபாலடNeboda","","NA"
"","","","",""
"wksl=;a j¾Idm;k ia:dk ஏழைய நிழலயங்களின் மழழவ ீழ்ச்சி Other Rainfall Stations","","","",""
"vR;`m`nSw`n kio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;   Rainfall Stations","","ÉÉ-kp..kP-mm"
"ඉලුකුච්නච්නි இலுக்கச்நசலன Illukuchchanai","76.1","හිනිඳුමகினிது஫Hiniduma","","32.0"
"බටුවන්ගල பட்டுவான்கயBatuwangala","70.5","කෛන්දිනපෝවල් கமன்டிப்நபாவல் Karandipowal","","30.2"
"දීඝවපිය தீஹவாபி Deegavapi","63.4","ඉඟිනියාගල இங்கினி஬ாகய Inginiyagala","","27.0"
"කිරිදිනවල கிரிந்திவய Kirindiwela","57.8","ගනලෝලஹலூயGaloola","","26.8"
"අක්කරෛයිපත්තුවஅக்கல஭ப்பற்று  ீர்ப் Akkaraipattu Irrigation","54.4","නමො ෛවි ம஫ானநமாவி஬ாMonrovia","","21.2"
"නසෝගම වැව நசாக஫ Sogama Tank","54.0","අවිස්සානව්ල්ල அவிசாவலர Awissawella","","21.0"
"මඩුකැනල් ஫டுல்கநய Madulkale","37.1","නව්වැල්තලාව நவவல்தயாவ Wevalthalawa","","20.8"
"ඉක්ගල් ඔය இக்கமயா஬ Ekgal oya","35.0","නෙහිවල மதகிவலர Dehiwala","","18.2"
"රුෆුස් වැව றுாபஸ்குரம் Rufuskulam","34.0","බගවන්තලාව மபாமஹாவந்தயாவ Bogawanthalawa","","17.8"
"අම්පාෛ அம்பாலம Ampara","32.2","පස්යාල பஸ்஬ாலய Pasyala","","16.5"
"","","","",""
"Wmßu j¾Idm;kh  / அதிகூடிய மழழவ ீழ்ச்சி/ Highest Rainfall :","","80.0
mm
ඕපාත  Opatha (Galle)","",""
