"ld,.=K jd¾;dj லானிலய அமிக்லை Weather Report
 osk Wfoa 0830 g wjika jQ meh 24 i|yd 
2022.02.25
          for the 24 hour period ending at 0830SLTS on this date","","","",""
"k`l²zìq&` m[&Sw`n
tspkz;lytpay;  epiyaq;fs;
Meteorological Stations","@sv@N u:zWvy(@s) 
epoypy; ntg;gepiy( nr)
Temperature in the shade (°C)","","vR;`pwny(ÉÉ)
kio tPo;r;rp(kp..kP)
Rainfall (mm)",""
"","upÝmcaH Max","avm ,opTMin.","Daily Rainfall",""
"wkqrdOmqrhஅநுபாதபுபம்Anuradhapura","30.8","22.7","0.0",""
"nÿ,a, ஧துள஭Badulla","23.6","19.1","1.1",""
"nKavdrfj, ஧ண்டாபவள஭Bandarawela","21.3","16.8","0.4",""
"uvl,mqj நட்டக்க஭ப்புBatticaloa","30.5","26.0","0.0",""
"fld<U ககாழும்புColombo","33.0","25.6","1.3",""
".d,a, கா஬ிGalle","32.5","24.2","6.4",""
"yïnkaf;dg ம்஧ாந்ததாட்ளடHambanthota","33.2","24.6","0.3",""
"hdmkh  னாழ்ப்஧ாணம்Jaffna","30.0","22.4","0.0",""
"fudKrd., கநா஦஫ாகள஬ Monaragala","30.1","23.0","1.7",""
"lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota","30.1","22.0","TR",""
"lgqkdhl  கட்டு஥ானக்காKatunayake","34.1","24.8","0.0",""
"l=reKE., குருணாகல் Kurunagala","32.7","24.4","TR",""
"uy b¨mam,a,u நஹாஇலுப்஧ல்஬ந Maha Illuppallama","31.1","21.6","TR",""
"ukakdru நன்஦ார்Mannar","31.7","24.6","0.0",""
"fmdf<dkakrej  க஧ா஬ன்஥றுவ polonnaruwa","30.8","22.4","3.3",""
"kqjrt<sh  நுவகப஬ினாNuwara Eliya","19.8","11.0","TR",""
"fmd;=ú,a க஧ாத்துவில்Pothuvil","31.3","24.5","0.0",""
"mq;a;,u புத்த஭ம்Puttalam","32.0","22.1","0.2",""
"r;au,dk இபத்ந஬ாள஦Rathmalana","32.5","25.2","12.3",""
"r;akmqrh இபத்தி஦புரிRathnapura","33.4","23.6","2.4",""
";
%sl=Kdu,h திருதகாணநள஬Trincomalee","30.1","25.4","0.0",""
"jõkshdj வவு஦ினாVavuniya","31.0","21.5","0.0",""
"u;a;, நத்த஭Mattla","32.7","23.2","0.0",""
"මු඼තිව් முல்ல஬த்தீவு  Mullaithivu","30.2","26.7","0.0",""
"úÿ,s n,d.dr wdY%
; c,dY  நீர்஫ின் நீர஭ந்துப் ப஭ப்பு Hydro Catchment Areas","","","",""
"vR;`m`n Sw`nkio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;                Rainfall Stations","","ÉÉ-kp..kP-mm"
"කාසල්රීகாசல்஫ீச்Castlereigh","1.0","රන්නෙණිග඼ இபந்மத஦ிக஬Randenigala","","1.6"
"න ෝටන්ந஥ாட்டன்Norton","0.0","රන්ටැනේ இபந்தம்ந஧Rantambe","","1.7"
"මාඕස්සාකැනල්மநௌசக்கந஬ Maussakele","0.0","නෙෝල ැන්  ந஧ாவத்தன்஦Bowatenna","","0.0"
"කැනියන්கன்னன்Canyon","7.3","උකුනල඼உக்குவ஬Ukuwela","","0.0"
"඼ක්ෂපා ஬க்ச஧ா஦Lakshapana","0.0","සම ළලැලசந஦஬மவவSamanala Wawa","","0.0"
"ඉහ඼ නකොත්මනල්நநல்மகாத்நல஬Upper Kotmale","6.8","කුකුනල් ගංඟ குக்குந஭கங்கKukuleganaga","","3.0"
"නකොත්මනල් மகாத்நல஬Kotmale","0.0","මස්නකළියநஸ்நக஬ினMaskeliya","","0.0"
"වික්නටෝරියාவிக்நபா஫ினா Victoriya","1.1","ෑෙඩ஥ாம஧ாலடNeboda","","NA"
"","","","",""
"wksl=;a j¾Idm;k ia:dk ஏலன஬ நிலய஬ங்ைரின் ஫லறல ீழ்ச்சி Other Rainfall Stations","","","",""
"vR;`m`nSw`n kio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;   Rainfall Stations","","ÉÉ-kp..kP-mm"
"එල්ස්ටන් எல்ஸ்பன் Elston","93.4","ගන඼ෝ඼ஹலூ஬Galoola","","10.5"
"පාදුක්ක ஧ாதுக்லக Padukka Estate","61.2","ගුරුළුලා  குறுழுவா஦ Guruluwana","","10.1"
"හංලැල්඼ஹங்மவல்஬ Hanwella","37.5","අයගම அனகந Ayagama","","9.0"
"නපෝද්දිනල඼ ந஧ாதிவ஬ நதாட்டம் Poddiwela Farm","35.1","උල්හිටිය உல்ஹிட்டின Ulhitiya","","8.4"
"නෙන්න ොට ලත්  ம஧ந்நதாட்டவத்தBenthotawatta","35.0","නපො඼ටගමம஧ா஬ட்டகந Polatagama","","8.0"
"මතුගම நத்துகந Mathugama","28.3","නගෝ පිටියநஹாண஧ிட்டின Gonapitiya Merigold","","8.0"
"ෙගලන් ඼ාල ம஧ாமஹாவந்த஬ாவ Bogawanthalawa","18.5","කෑරග඼ காபக஬ Karagala","","6.0"
"බිබි඼஧ி஧ில஬Bibila","13.2","ඉක්ගල් ඔය இக்கம஬ான Ekgal oya","","5.7"
"කුරුඳුඔය குருந்துஒன Kurunduoya","12.3","හිනිඳුමகி஦ிதுநHiniduma","","4.5"
"නමොරලිය ඔය முப஬ிஒன Moraliya-Oya","11.2","නහොප් நஹாப் Hope","","4.5"
"","","","",""
"Wmßu j¾Idm;kh  / அதிகூடி஬ ஫லறல ீழ்ச்சி/ Highest Rainfall :","","එල්ස්ටන්-අවිස්සාවේල්ල எல்ஸ்டன்-அலிசாவலல்யா 
93.4
mm
Elston Rubber Factory -Avissawella","",""
