"ld,.=K jd¾;dj வாைிழல அறிக்ழக Weather Report
 osk Wfoa 0830 g wjika jQ meh 24 i|yd 
2023.01.22
          for the 24 hour period ending at 0830SLTS on this date","","","",""
"k`l²zìq&` m[&Sw`n
tspkz;lytpay;  epiyaq;fs;
Meteorological Stations","@sv@N u:zWvy(@s) 
epoypy; ntg;gepiy( nr)","","vR;`pwny(ÉÉ)
kio tPo;r;rp(kp..kP)
Rainfall (mm)",""
"","Temperature in the shade (°C)","","",""
"","upÝmcaH Max","avm ,opTMin.","Daily Rainfall",""
"wkqrdOmqrhஅநுபாதபுபம்Anuradhapura","29.0","21.7","2.7",""
"nÿ,a, ஧துள஭Badulla","20.1","17.9","15.5",""
"nKavdrfj, ஧ண்டாபவள஭Bandarawela","16.9","16.0","13.7",""
"uvl,mqj நட்டக்க஭ப்புBatticaloa","27.1","22.0","58.0",""
"fld<U ககாழும்புColombo","29.4","23.2","0.1",""
".d,a, கா஬ிGalle","27.4","23.2","4.3",""
"yïnkaf;dg ம்஧ாந்ததாட்ளடHambanthota","28.8","22.7","46.3",""
"hdmkh  னாழ்ப்஧ாணம்Jaffna","29.0","24.0","0.0",""
"fudKrd., கநா஦஫ாகள஬ Monaragala","26.2","21.5","7.5",""
"lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota","22.9","19.7","6.3",""
"lgqkdhl  கட்டு஥ானக்காKatunayake","28.3","22.4","0.6",""
"l=reKE., குருணாகல் Kurunagala","27.2","21.5","4.5",""
"uy b¨mam,a,u நஹாஇலுப்஧ல்஬ந Maha Illuppallama","28.8","20.7","3.6",""
"ukakdru நன்஦ார்Mannar","29.1","23.8","0.0",""
"fmdf<dkakrej  க஧ா஬ன்஥றுவ polonnaruwa","27.8","21.3","36.0",""
"k
jrt<sh  நுவகப஬ினாNuwara Eliya","14.7","13.7","4.8",""
"fmd;=ú,a க஧ாத்துவில்Pothuvil","26.3","22.3","47.3",""
"mq;a;,u புத்த஭ம்Puttalam","30.0","22.0","1.4",""
"r;au,dk இபத்ந஬ாள஦Rathmalana","29.1","23.1","0.2",""
"r;akmqrh இபத்தி஦புரிRathnapura","27.7","22.3","2.1",""
";%sl=Kdu,h திருதகாணநள஬Trincomalee","28.5","21.0","4.6",""
"jõkshdj வவு஦ினாVavuniya","29.5","22.2","0.0",""
"u;a;, நத்த஭Mattla","30.8","22.3","27.0",""
"මුලතිව් முல்ல஬த்தீவு  Mullaithivu","28.8","24.2","2.2",""
"úÿ,s n,d.dr wdY%
; c,dY  நீர்மின் நீரரந்துப் பரப்பு Hydro Catchment Areas","","","",""
"vR;`m`n Sw`nkio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;                Rainfall Stations","","ÉÉ-kp..kP-mm"
"කාසල්රීக஺சல்஫ீச்Castlereigh","4.0","ෛන්නෙණිගල இபந்மத஦ிக஬Randenigala","","39.2"
"න ෝටන්ந஥஺ட்டன்Norton","3.5","ෛන්ටැනේ இபந்தம்ந஧Rantambe","","51.8"
"මාඕස්සාකැනල්மநௌசக்கந஬ Maussakele","4.1","නබෝව ැන්  ந஧஺வத்தன்஦Bowatenna","","30.9"
"කැනියන්கன்னன்Canyon","3.7","උකුනවලஉக்குவ஬Ukuwela","","9.7"
"ලක්ෂපා ஬க்ச஧஺஦Lakshapana","2.9","සම ළවැවசந஦஬மவவSamanala Wawa","","3.0"
"ඉහල නකොත්මනල්நநல்மக஺த்நல஬Upper Kotmale","4.5","කුකුනල් ගංඟ குக்குந஭கங்கKukuleganaga","","5.0"
"නකොත්මනල් மக஺த்நல஬Kotmale","4.2","මස්නකළියநஸ்நக஬஻னMaskeliya","","NA"
"වික්නටෝරියාவிக்நப஺஫஻ன஺ Victoriya","19.0","ෑබඩ஥஺ம஧஺லடNeboda","","NA"
"","","","",""
"wksl=;a j¾Idm;k ia:dk ஏழைய நிழலயங்களின் மழழவ ீழ்ச்சி Other Rainfall Stations","","","",""
"vR;`m`nSw`n kio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;   Rainfall Stations","","ÉÉ-kp..kP-mm"
"අක්කරෛයිපත්තුවஅக்கலபப்஧ற்று ஥ீர்ப் Akkaraipattu Irrigation","100.1","උල්හිටිය உல்ஹ஻ட்டின Ulhitiya","","49.8"
"දීඝවපිය தீஹவ஺஧ி Deegavapi","64.7","උන්නිච්නචයි  உன்஦ிச்லச Unnichchai","","46.0"
"ඉලුකුච්නච්නි இற௃க்கச்நசல஦ Illukuchchanai","60.8","තිස්සමහාෛාමයத஻ஸ்ஸநஹ஺஫஺லநனTissamaharamaya","","42.3"
"ප ම වැව ஧஺ணந Panama Tank","59.9","ඉක්ගල් ඔය இக்கம஬஺ன Ekgal oya","","42.0"
"අම්පාෛ அம்஧஺ல஫ Ampara","56.0","ඉඟිනියාගල இங்க஻஦ின஺க஬ Inginiyagala","","38.0"
"යාල ன஺஬ Yala","55.0","ලාහුගල ஬஺குகல஬ Lahugala Tank","","37.5"
"වාකනන්රි  வ஺கந஦ரிக் கு஭ம் Vakanari Wawa","54.4","නගෝ පිටියநஹ஺ண஧ிட்டின Gonapitiya Merigold","","33.0"
"බඳගිරිය ஧ண்டஹ஻஫஻ன Bandagiriya Tank","54.0","ත්‍රිකුණමලය  ාවික කඳවුෛகடல்ப்஧லட த஻ருநல஬ TCO Navy","","31.7"
"රුගම්  றூகம் Rugam","52.0","කුච්චනව්ලිகுச்சமவ஭ி Kuchchaveli","","29.0"
"අෛලගංවිල அ஫஬கங்வி஬ Aralaganwila","50.0","ලිය ගස්න ොට ஬஻னணகஸ்நத஺ட்ட Liyangastota","","25.8"
"","","","",""
"Wmßu j¾Idm;kh  / அதிகூடிய மழழவ ீழ்ச்சி/ Highest Rainfall :","","අක්කරෛයිපත්තුව அக்கழரப்பற்று நீர்ப் 
100.1
mm
Akkaraipattu Irrigation","",""
