"ld,.=K jd¾;dj யா஦ிழ஬ அ஫ிக்ழக Weather Report
 osk Wfoa 0830 g wjika jQ meh 24 i|yd 
2022.10.25
          for the 24 hour period ending at 0830SLST on this date","","","",""
"k`l²zìq&` m[&Sw`n
tspkz;lytpay;  epiyaq;fs;
Meteorological Stations","@sv@N u:zWvy(@s) 
epoypy; ntg;gepiy( nr)
Temperature in the shade (°C)","","vR;`pwny(ÉÉ)
kio tPo;r;rp(kp..kP)
Rainfall (mm)",""
"","upÝmcaH Max","avm ,opTMin.","Daily Rainfall",""
"wkqrdOmqrhஅநுபாதபுபம்Anuradhapura","31.7","24.5","0.0",""
"nÿ,a, ஧துள஭Badulla","26.9","18.1","0.9",""
"nKavdrfj, ஧ண்டாபவள஭Bandarawela","24.6","16.6","4.6",""
"uvl,mqj நட்டக்க஭ப்புBatticaloa","31.9","23.9","15.5",""
"fld<U ககாழும்புColombo","29.7","26.1","0.1",""
".d,a, கா஬ிGalle","27.5","25.1","3.7",""
"yïnkaf;dg ம்஧ாந்ததாட்ளடHambanthota","29.8","24.7","2.1",""
"hdmkh  னாழ்ப்஧ாணம்Jaffna","29.6","22.4","113.5",""
"fudKrd., கநா஦஫ாகள஬ Monaragala","29.9","22.0","0.2",""
"lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota","27.4","21.3","4.3",""
"lgqkdhl  கட்டு஥ானக்காKatunayake","29.7","25.8","0.2",""
"l=reKE., குருணாகல் Kurunagala","29.8","24.3","10.8",""
"uy b¨mam,a,u நஹாஇலுப்஧ல்஬ந Maha Illuppallama","31.1","23.8","0.0",""
"ukakdru நன்஦ார்Mannar","29.8","27.0","0.0",""
"fmdf<dkakrej  க஧ா஬ன்஥றுவ polonnaruwa","33.4","23.6","0.0",""
"k
jrt<sh  நுவகப஬ினாNuwara Eliya","18.0","14.0","2.9",""
"fmd;=ú,a க஧ாத்துவில்Pothuvil","32.5","24.4","0.1",""
"mq;a;,u புத்த஭ம்Puttalam","30.4","25.2","13.9",""
"r;au,dk இபத்ந஬ாள஦Rathmalana","30.1","25.7","0.6",""
"r;akmqrh இபத்தி஦புரிRathnapura","28.6","23.4","10.5",""
";%sl=Kdu,h திருதகாணநள஬Trincomalee","31.5","24.1","17.8",""
"jõkshdj வவு஦ினாVavuniya","31.4","24.0","0.0",""
"u;a;, நத்த஭Mattla","30.5","23.2","TR",""
"මු඼තිව් முல்ல஬த்தீவு  Mullaithivu","30.5","24.5","18.6",""
"úÿ,s n,d.dr wdY%
; c,dY  ஥ீர்நின் ஥ீரபந்துப் ஧பப்பு Hydro Catchment Areas","","","",""
"vR;`m`n Sw`nkio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;                Rainfall Stations","","ÉÉ-kp..kP-mm"
"කාසල්රීகாசல்஫ீச்Castlereigh","14.5","රන්නදණිග඼ இபந்மத஦ிக஬Randenigala","","1.5"
"න ෝටන්ந஥ாட்டன்Norton","48.3","රන්ටැනේ இபந்தம்ந஧Rantambe","","1.1"
"මාඕස්සාකැනල්மநௌசக்கந஬ Maussakele","13.0","නබෝලතැන්  ந஧ாவத்தன்஦Bowatenna","","0.0"
"කැනියන්கன்னன்Canyon","31.5","උකුනල඼உக்குவ஬Ukuwela","","2.0"
"඼ක්ෂපා ஬க்ச஧ா஦Lakshapana","58.3","සම ළලැලசந஦஬மவவSamanala Wawa","","0.0"
"ඉහ඼ නකොත්මනල්நநல்மகாத்நல஬Upper Kotmale","41.0","කුකුනල් ගංඟ குக்குந஭கங்கKukuleganaga","","55.0"
"නකොත්මනල් மகாத்நல஬Kotmale","26.5","මස්නකළියநஸ்நக஬ினMaskeliya","","12.5"
"වික්නටෝරියාவிக்நபா஫ினா Victoriya","1.0","ෑබඩ஥ாம஧ாலடNeboda","","NA"
"","","","",""
"wksl=;a j¾Idm;k ia:dk ஏழ஦ன ஥ிழ஬னங்க஭ின் நழமய ீழ்ச்சி Other Rainfall Stations","","","",""
"vR;`m`nSw`n kio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;   Rainfall Stations","","ÉÉ-kp..kP-mm"
"ජ඼සම්පාද -යාප ය஥ீர்வ஭ச்-சல஧Water-Jaffna","117.7","අම්පාර அம்஧ால஫ Ampara","","46.2"
"නදනියායமத஦ினான Deniyaya","91.0","නදොඩන්ගස්඼න්ද மதாடங்கஸ்஬ந்தDodangaslanda","","44.5"
"ලාරිමාර්ග-යාප ය னாழ்ப்஧ாணம் ஥ீர்ப்஧ாச஦ம் Jaffna Irrigation","82.2","මරදන්කඩල඼ நபதன்கடவல஭ Maradankadawala","","43.4"
"බටුලන්ග඼ ஧ட்டுவான்க஬Batuwangala","69.3","වීරකැටිය வ ீபமகட்டினWeeraketiya Irrigation","","34.9"
"නමොරලිය ඔය முப஬ிஒன Moraliya-Oya","61.6","චාලකච්නච්රී சாவகச்நசரி Chavakachcheri","","34.2"
"උඳුනගොඩஉந்துமகாடUndugoda","58.0","ඉඟිනියාග඼ இங்கி஦ினாக஬ Inginiyagala","","32.2"
"ගුරුළුලා  குறுழுவா஦ Guruluwana","56.4","රුෆුස් ලැල றுா஧ஸ்கு஭ம் Rufuskulam","","32.0"
