"ld,.=K jd¾;dj வாைிழல அறிக்ழக Weather Report
 osk Wfoa 0830 g wjika jQ meh 24 i|yd 
2022.02.28
          for the 24 hour period ending at 0830SLTS on this date","","","",""
"k`l²zìq&` m[&Sw`n
tspkz;lytpay;  epiyaq;fs;
Meteorological Stations","@sv@N u:zWvy(@s) 
epoypy; ntg;gepiy( nr)","","vR;`pwny(ÉÉ)
kio tPo;r;rp(kp..kP)
Rainfall (mm)",""
"","Temperature in the shade (°C)","","",""
"","upÝmcaH Max","avm ,opTMin.","Daily Rainfall",""
"wkqrdOmqrhஅநுபாதபுபம்Anuradhapura","31.6","23.4","0.0",""
"nÿ,a, ஧துள஭Badulla","26.9","17.2","0.0",""
"nKavdrfj, ஧ண்டாபவள஭Bandarawela","24.0","14.7","0.0",""
"uvl,mqj நட்டக்க஭ப்புBatticaloa","29.9","24.4","0.0",""
"fld<U ககாழும்புColombo","33.9","24.0","0.0",""
".d,a, கா஬ிGalle","29.7","24.5","0.0",""
"yïnkaf;dg ம்஧ாந்ததாட்ளடHambanthota","34.0","23.4","0.0",""
"hdmkh  னாழ்ப்஧ாணம்Jaffna","30.8","22.0","0.0",""
"fudKrd., கநா஦஫ாகள஬ Monaragala","31.8","21.1","0.0",""
"lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota","32.1","18.8","0.0",""
"lgqkdhl  கட்டு஥ானக்காKatunayake","34.8","22.0","0.0",""
"l=reKE., குருணாகல் Kurunagala","35.0","21.9","0.0",""
"uy b¨mam,a,u நஹாஇலுப்஧ல்஬ந Maha Illuppallama","32.2","22.2","0.0",""
"ukakdru நன்஦ார்Mannar","31.8","25.5","0.0",""
"fmdf<dkakrej  க஧ா஬ன்஥றுவ polonnaruwa","31.4","22.5","0.0",""
"kqjrt<sh  நுவகப஬ினாNuwara Eliya","21.1","7.5","0.0",""
"fmd;=ú,a க஧ாத்துவில்Pothuvil","31.1","24.0","0.0",""
"m
;a;,u புத்த஭ம்Puttalam","33.7","22.0","0.0",""
"r;au,dk இபத்ந஬ாள஦Rathmalana","33.4","23.7","0.0",""
"r;akmqrh இபத்தி஦புரிRathnapura","34.7","22.0","TR",""
";%sl=Kdu,h திருதகாணநள஬Trincomalee","29.7","25.6","0.0",""
"jõkshdj வவு஦ினாVavuniya","31.6","22.7","0.0",""
"u;a;, நத்த஭Mattla","34.8","21.6","0.0",""
"මු඼තිව් முல்ல஬த்தீவு  Mullaithivu","30.2","26.6","0.0",""
"úÿ,s n,d.dr wdY%
; c,dY  நீர்மின் நீதரந்துப் பரப்பு Hydro Catchment Areas","","","",""
