"ld,.=K jd¾;dj வாைிழல அறிக்ழை Weather Report
 osk Wfoa 0830 g wjika jQ meh 24 i|yd 
2022.03.29
          for the 24 hour period ending at 0830SLTS on this date","","","",""
"k`l²zìq&` m[&Sw`n
tspkz;lytpay;  epiyaq;fs;
Meteorological Stations","@sv@N u:zWvy(@s) 
epoypy; ntg;gepiy( nr)","","vR;`pwny(ÉÉ)
kio tPo;r;rp(kp..kP)
Rainfall (mm)",""
"","Temperature in the shade (°C)","","",""
"","upÝmcaH Max","avm ,opTMin.","Daily Rainfall",""
"wkqrdOmqrhஅநுபாதபுபம்Anuradhapura","34.9","25.4","0.0",""
"nÿ,a, ஧துள஭Badulla","30.6","18.3","0.0",""
"nKavdrfj, ஧ண்டாபவள஭Bandarawela","26.2","16.9","0.3",""
"uvl,mqj நட்டக்க஭ப்புBatticaloa","31.7","24.6","0.0",""
"fld<U ககாழும்புColombo","33.4","26.5","0.0",""
".d,a, கா஬ிGalle","31.9","26.3","0.1",""
"yïnkaf;dg ம்஧ாந்ததாட்ளடHambanthota","31.9","25.7","0.0",""
"hdmkh  னாழ்ப்஧ாணம்Jaffna","34.1","25.9","0.4",""
"fudKrd., கநா஦஫ாகள஬ Monaragala","34.6","21.3","0.0",""
"lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota","33.8","23.1","0.0",""
"lgqkdhl  கட்டு஥ானக்காKatunayake","33.5","25.1","0.0",""
"l=reKE., குருணாகல் Kurunagala","36.2","24.9","38.4",""
"uy b¨mam,a,u நஹாஇலுப்஧ல்஬ந Maha Illuppallama","34.9","24.4","0.0",""
"ukakdru நன்஦ார்Mannar","32.8","26.6","0.0",""
"fmdf<dkakrej  க஧ா஬ன்஥றுவ polonnaruwa","35.4","24.1","0.0",""
"kqjrt<sh  நுவகப஬ினாNuwara Eliya","22.7","10.6","0.1",""
"fmd;=ú,a க஧ாத்துவில்Pothuvil","32.9","25.4","0.0",""
"m
;a;,u புத்த஭ம்Puttalam","32.7","25.0","0.0",""
"r;au,dk இபத்ந஬ாள஦Rathmalana","33.7","25.6","14.4",""
"r;akmqrh இபத்தி஦புரிRathnapura","34.6","23.6","9.1",""
";%sl=Kdu,h திருதகாணநள஬Trincomalee","31.7","24.8","0.0",""
"jõkshdj வவு஦ினாVavuniya","34.9","24.9","0.0",""
"u;a;, நத்த஭Mattla","30.0","23.7","0.0",""
"මු඼තිව් முல்லயத்தீவு  Mullaithivu","32.5","25.3","0.0",""
"úÿ,s n,d.dr wdY%
; c,dY  நீர்மின் நீரரந்துப் பரப்பு Hydro Catchment Areas","","","",""
"vR;`m`n Sw`nkio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;                Rainfall Stations","","ÉÉ-kp..kP-mm"
"ක෈සල්රීகாசல்மீச்Castlereigh","0.0","රන්නදණිග඼ இ஭ந்மதனிகயRandenigala","","0.0"
"න ෝටන්ந ாட்டன்Norton","0.0","රන්ට෉නේ இ஭ந்தம்நபRantambe","","0.0"
"ම෈ඕස෇ස෈ක෉නල්ம஫ௌசக்கநய Maussakele","5.8","න ෝලත෉න්  நபாவத்தன்னBowatenna","","0.0"
"ක෉නියන්கன்஬ன்Canyon","0.0","උකුනල඼உக்குவயUkuwela","","0.0"
"඼ක්ෂප෈ யக்சபானLakshapana","4.3","සම ළල෉ලச஫னயமவவSamanala Wawa","","4.0"
"ඉහ඼ නකොත්මනල්ந஫ல்மகாத்஫லயUpper Kotmale","0.0","කුකුනල් ගංඟ குக்குநரகங்கKukuleganaga","","8.0"
"නකොත්මනල් மகாத்஫லயKotmale","0.0","මස෇නකළිය஫ஸ்நகயி஬Maskeliya","","NA"
"වික්නටෝරිය෈விக்ந஭ாமி஬ா Victoriya","0.0","් ෙ ாமபாலடNeboda","","NA"
"","","","",""
"wksl=;a j¾Idm;k ia:dk ஏழைய நிழலயங்ைளின் மழழவ ீழ்ச்சி Other Rainfall Stations","","","",""
"vR;`m`nSw`n kio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;   Rainfall Stations","","ÉÉ-kp..kP-mm"
"ප෈දුක්ක பாதுக்லக Padukka Estate","68.1","ල෈රිම෈ර්ග-ය෈ප ය ஬ாழ்ப்பா ம்  ீர்ப்பாசனம் Jaffna Irrigation","","12.0"
"රන ෝර෈ල மந ாமாவ Ranorava","33.8","අයගම அ஬க஫ Ayagama","","12.0"
"ක්රග඼ கா஭கய Karagala","33.2","ල෈රියනපො඼வாரி஬மபார Wariyapola","","10.5"
"න ොනරොච්න ොලි நுல஭ச்நசாலய  Norochcholai","25.0","ජ඼සම්ප෈ද -ය෈ප ය ீர்வரச்-சலபWater-Jaffna","","9.7"
"හිඳලஹினிது஫Hindawa","19.9","නහල්න ොෙ மஹயமபாட Helboda North","","9.0"
