"ld,.=K jd¾;dj லானிழய அமிக்ழக Weather Report
 osk Wfoa 0830 g wjika jQ meh 24 i|yd 
2022.01.06
          for the 24 hour period ending at 0830SLTS on this date","","","",""
"k`l²zìq&` m[&Sw`n
tspkz;lytpay;  epiyaq;fs;
Meteorological Stations","@sv@N u:zWvy(@s) 
epoypy; ntg;gepiy( nr)","","vR;`pwny(ÉÉ)
kio tPo;r;rp(kp..kP)
Rainfall (mm)",""
"","Temperature in the shade (°C)","","",""
"","upÝmcaH Max","avm ,opTMin.","Daily Rainfall",""
"wkqrdOmqrhஅநுபாதபுபம்Anuradhapura","29.9","23.2","0.1",""
"nÿ,a, ஧துள஭Badulla","25.9","20.1","5.5",""
"nKavdrfj, ஧ண்டாபவள஭Bandarawela","23.0","17.7","2.7",""
"uvl,mqj நட்டக்க஭ப்புBatticaloa","27.6","23.0","10.8",""
"fld<U ககாழும்புColombo","30.9","24.6","0.0",""
".d,a, கா஬ிGalle","29.4","24.3","TR",""
"yïnkaf;dg ம்஧ாந்ததாட்ளடHambanthota","30.6","23.8","9.4",""
"hdmkh  னாழ்ப்஧ாணம்Jaffna","28.2","24.9","0.0",""
"fudKrd., கநா஦஫ாகள஬ Monaragala","31.5","23.7","TR",""
"lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota","28.6","21.4","0.0",""
"lgqkdhl  கட்டு஥ானக்காKatunayake","31.2","23.8","0.3",""
"l=reKE., குருணாகல் Kurunagala","31.4","23.6","TR",""
"uy b¨mam,a,u நஹாஇலுப்஧ல்஬ந Maha Illuppallama","29.9","22.4","10.0",""
"ukakdru நன்஦ார்Mannar","28.8","25.4","0.0",""
"fmdf<dkakrej  க஧ா஬ன்஥றுவ polonnaruwa","29.7","23.6","12.8",""
"k
jrt<sh  நுவகப஬ினாNuwara Eliya","20.9","11.2","14.6",""
"fmd;=ú,a க஧ாத்துவில்Pothuvil","30.8","24.1","0.1",""
"mq;a;,u புத்த஭ம்Puttalam","29.7","23.7","0.0",""
"r;au,dk இபத்ந஬ாள஦Rathmalana","31.0","24.2","0.0",""
"r;akmqrh இபத்தி஦புரிRathnapura","32.2","21.7","8.4",""
";%sl=Kdu,h திருதகாணநள஬Trincomalee","28.8","23.4","39.1",""
"jõkshdj வவு஦ினாVavuniya","28.9","23.9","2.9",""
"u;a;, நத்த஭Mattla","31.8","22.7","52.4",""
"මු඼තිව් முல்ல஬த்தீவு  Mullaithivu","27.7","23.8","16.6",""
"úÿ,s n,d.dr wdY%
; c,dY  நீர்஫ின் நீர஭ந்துப் ப஭ப்பு Hydro Catchment Areas","","","",""
"vR;`m`n Sw`nkio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;                Rainfall Stations","","ÉÉ-kp..kP-mm"
"කාසල්රීகாசல்஫ீச்Castlereigh","0.5","රන්නෙණිග඼ இபந்மத஦ிக஬Randenigala","","4.2"
"න ෝටන්ந஥ாட்டன்Norton","12.0","රන්ටැනේ இபந்தம்ந஧Rantambe","","0.0"
"මාඕස්සාකැනල්மநௌசக்கந஬ Maussakele","0.0","න ෝලතැන්  ந஧ாவத்தன்஦Bowatenna","","11.5"
"කැනියන්கன்னன்Canyon","5.0","උකුනල඼உக்குவ஬Ukuwela","","4.0"
"඼ක්ෂපා ஬க்ச஧ா஦Lakshapana","40.0","සම ළලැලசந஦஬மவவSamanala Wawa","","69.0"
