"ld,.=K jd¾;dj வோைிழல அறிக்ழக Weather Report
 osk Wfoa 0830 g wjika jQ meh 24 i|yd 
2021.12.09
          for the 24 hour period ending at 0830SLTS on this date","","","",""
"k`l²zìq&` m[&Sw`n
tspkz;lytpay;  epiyaq;fs;
Meteorological Stations","@sv@N u:zWvy(@s) 
epoypy; ntg;gepiy( nr)","","vR;`pwny(ÉÉ)
kio tPo;r;rp(kp..kP)
Rainfall (mm)",""
"","Temperature in the shade (°C)","","",""
"","upÝmcaH Max","avm ,opTMin.","Daily Rainfall",""
"wkqrdOmqrhஅநுபாதபுபம்Anuradhapura","31.8","24.1","0.5",""
"nÿ,a, ஧துள஭Badulla","26.1","19.5","7.2",""
"nKavdrfj, ஧ண்டாபவள஭Bandarawela","24.6","17.7","1.5",""
"uvl,mqj நட்டக்க஭ப்புBatticaloa","29.8","24.6","15.0",""
"fld<U ககாழும்புColombo","32.1","25.3","5.5",""
".d,a, கா஬ிGalle","30.6","25.6","17.8",""
"yïnkaf;dg ம்஧ாந்ததாட்ளடHambanthota","32.3","25.3","0.7",""
"hdmkh  னாழ்ப்஧ாணம்Jaffna","30.1","24.5","0.8",""
"fudKrd., கநா஦஫ாகள஬ Monaragala","30.4","23.2","3.7",""
"lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota","32.1","21.4","2.5",""
"lgqkdhl  கட்டு஥ானக்காKatunayake","32.3","24.5","TR",""
"l=reKE., குருணாகல் Kurunagala","32.9","23.7","1.0",""
"uy b¨mam,a,u நஹாஇலுப்஧ல்஬ந Maha Illuppallama","31.7","22.5","0.0",""
"ukakdru நன்஦ார்Mannar","31.0","24.8","0.3",""
"fmdf<dkakrej  க஧ா஬ன்஥றுவ polonnaruwa","30.9","23.1","28.7",""
"kqjrt<sh  நுவகப஬ினாNuwara Eliya","21.6","13.8","7.2",""
"fmd;=ú,a க஧ாத்துவில்Pothuvil","31.1","24.1","34.8",""
"m
;a;,u புத்த஭ம்Puttalam","32.7","24.0","0.1",""
"r;au,dk இபத்ந஬ாள஦Rathmalana","32.2","25.4","2.9",""
"r;akmqrh இபத்தி஦புரிRathnapura","33.5","23.8","1.6",""
";%sl=Kdu,h திருதகாணநள஬Trincomalee","30.0","24.5","26.4",""
"jõkshdj வவு஦ினாVavuniya","32.0","23.2","15.3",""
"u;a;, நத்த஭Mattla","32.3","23.7","0.8",""
"මු඼තිව් முல்ல஬த்தீவு  Mullaithivu","30.7","25.0","9.9",""
"úÿ,s n,d.dr wdY%
; c,dY  நீர்மின் நீதரந்துப் பரப்பு Hydro Catchment Areas","","","",""
"vR;`m`n Sw`nkio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;                Rainfall Stations","","ÉÉ-kp..kP-mm"
"කාසල්රීகாசல்஫ீச்Castlereigh","4.5","රන්නෙණිග඼ இபந்மத஦ிக஬Randenigala","","3.3"
"න ෝටන්ந஥ாட்டன்Norton","0.3","රන්ටැනේ இபந்தம்ந஧Rantambe","","2.5"
