"ld,.=K jd¾;dj வாைிழல அறிக்ழை Weather Report
 osk Wfoa 0830 g wjika jQ meh 24 i|yd 
2022.09.07
          for the 24 hour period ending at 0830SLTS on this date","","","",""
"k`l²zìq&` m[&Sw`n
tspkz;lytpay;  epiyaq;fs;
Meteorological Stations","@sv@N u:zWvy(@s) 
epoypy; ntg;gepiy( nr)","","vR;`pwny(ÉÉ)
kio tPo;r;rp(kp..kP)
Rainfall (mm)",""
"","Temperature in the shade (°C)","","",""
"","upÝmcaH Max","avm ,opTMin.","Daily Rainfall",""
"wkqrdOmqrhஅநுபாதபுபம்Anuradhapura","30.0","24.3","0.0",""
"nÿ,a, ஧துள஭Badulla","27.4","20.4","0.1",""
"nKavdrfj, ஧ண்டாபவள஭Bandarawela","25.2","18.2","0.0",""
"uvl,mqj நட்டக்க஭ப்புBatticaloa","31.9","24.3","TR",""
"fld<U ககாழும்புColombo","29.9","25.8","0.2",""
".d,a, கா஬ிGalle","28.6","25.0","16.2",""
"yïnkaf;dg ம்஧ாந்ததாட்ளடHambanthota","29.9","24.7","1.0",""
"hdmkh  னாழ்ப்஧ாணம்Jaffna","30.3","26.8","0.0",""
"fudKrd., கநா஦஫ாகள஬ Monaragala","32.6","21.8","0.0",""
"lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota","25.2","22.2","0.6",""
"lgqkdhl  கட்டு஥ானக்காKatunayake","29.2","25.6","0.0",""
"l=reKE., குருணாகல் Kurunagala","28.4","23.9","1.2",""
"uy b¨mam,a,u நஹாஇலுப்஧ல்஬ந Maha Illuppallama","29.7","23.8","0.0",""
"ukakdru நன்஦ார்Mannar","29.4","26.2","0.0",""
"fmdf<dkakrej  க஧ா஬ன்஥றுவ polonnaruwa","30.5","26.1","TR",""
"kqjrt<sh  நுவகப஬ினாNuwara Eliya","15.5","13.4","3.2",""
"fmd;=ú,a க஧ாத்துவில்Pothuvil","32.6","25.0","TR",""
"m
;a;,u புத்த஭ம்Puttalam","30.2","25.6","0.0",""
"r;au,dk இபத்ந஬ாள஦Rathmalana","30.3","25.0","0.2",""
"r;akmqrh இபத்தி஦புரிRathnapura","29.2","24.1","TR",""
";%sl=Kdu,h திருதகாணநள஬Trincomalee","30.9","25.0","0.0",""
"jõkshdj வவு஦ினாVavuniya","30.4","24.3","0.0",""
"u;a;, நத்த஭Mattla","32.2","23.7","0.0",""
"මු඼තිව් முல்லயத்தீவு  Mullaithivu","32.6","25.4","0.0",""
"úÿ,s n,d.dr wdY%
; c,dY  நீர்மின் நீரரந்துப் பரப்பு Hydro Catchment Areas","","","",""
"vR;`m`n Sw`nkio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;                Rainfall Stations","","ÉÉ-kp..kP-mm"
"කාසල්රීகாசல்மீச்Castlereigh","14.1","රන්න ණිග඼ இ஭ந்மதனிகயRandenigala","","0.0"
"න ෝටන්ந ாட்டன்Norton","8.3","රන්ටැනේ இ஭ந்தம்நபRantambe","","0.0"
"මාඕස්සාකැනල්ம஫ௌசக்கநய Maussakele","6.2","නෙෝල ැන්  நபாவத்தன்னBowatenna","","0.0"
"කැනියන්கன்஬ன்Canyon","4.7","උකුනල඼உக்குவயUkuwela","","1.9"
"඼ක්ෂපා யக்சபானLakshapana","4.7","සම ළලැලச஫னயமவவSamanala Wawa","","0.0"
"ඉහ඼ නකොත්මනල්ந஫ல்மகாத்஫லயUpper Kotmale","11.1","කුකුනල් ගංඟ குக்குநரகங்கKukuleganaga","","1.0"
"නකොත්මනල් மகாத்஫லயKotmale","2.6","මස්නකළිය஫ஸ்நகயி஬Maskeliya","","0.0"
"වික්නටෝරියාவிக்ந஭ாமி஬ா Victoriya","0.0","ෑෙඩ ாமபாலடNeboda","","NA"
"","","","",""
"wksl=;a j¾Idm;k ia:dk ஏழைய நிழலயங்ைளின் மழழவ ீழ்ச்சி Other Rainfall Stations","","","",""
"vR;`m`nSw`n kio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;   Rainfall Stations","","ÉÉ-kp..kP-mm"
"පාදුක්ක பாதுக்லக Padukka Estate","59.5","වීරකැටිය வ ீ஭மகட்டி஬Weeraketiya Irrigation","","7.0"
"නෙන්න ොට ලත්  மபந்நதாட்டவத்தBenthotawatta","15.2","අනේනල඼ அம்நபமவய Ambewela","","5.4"
"කැටන්න ොළகட்டன்மதாயKethendola","13.2","ෙටුලන්ග඼ பட்டுவான்கயBatuwangala","","5.2"
"මතුගම ஫த்துக஫ Mathugama","11.4","අයගම அ஬க஫ Ayagama","","5.2"
