"ld,.=K jd¾;dj வாைிழல அறிக்ழக Weather Report
 osk Wfoa 0830 g wjika jQ meh 24 i|yd 
2022.10.03
          for the 24 hour period ending at 0830SLTS on this date","","","",""
"k`l²zìq&` m[&Sw`n
tspkz;lytpay;  epiyaq;fs;
Meteorological Stations","@sv@N u:zWvy(@s) 
epoypy; ntg;gepiy( nr)","","vR;`pwny(ÉÉ)
kio tPo;r;rp(kp..kP)
Rainfall (mm)",""
"","Temperature in the shade (°C)","","",""
"","upÝmcaH Max","avm ,opTMin.","Daily Rainfall",""
"wkqrdOmqrhஅநுபாதபுபம்Anuradhapura","33.3","25.6","0.0",""
"nÿ,a, ஧துள஭Badulla","28.9","19.5","0.4",""
"nKavdrfj, ஧ண்டாபவள஭Bandarawela","23.6","18.9","1.2",""
"uvl,mqj நட்டக்க஭ப்புBatticaloa","36.7","26.1","0.0",""
"fld<U ககாழும்புColombo","30.6","26.9","0.0",""
".d,a, கா஬ிGalle","29.0","25.3","4.7",""
"yïnkaf;dg ம்஧ாந்ததாட்ளடHambanthota","33.5","26.0","0.0",""
"hdmkh  னாழ்ப்஧ாணம்Jaffna","33.9","27.2","0.0",""
"fudKrd., கநா஦஫ாகள஬ Monaragala","32.7","21.7","0.0",""
"lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota","27.1","22.0","12.1",""
"lgqkdhl  கட்டு஥ானக்காKatunayake","30.7","26.5","0.0",""
"l=reKE., குருணாகல் Kurunagala","30.7","24.6","2.5",""
"uy b¨mam,a,u நஹாஇலுப்஧ல்஬ந Maha Illuppallama","32.2","25.1","0.0",""
"ukakdru நன்஦ார்Mannar","30.9","26.5","0.5",""
"fmdf<dkakrej  க஧ா஬ன்஥றுவ polonnaruwa","34.4","26.8","0.0",""
"kqjrt<sh  நுவகப஬ினாNuwara Eliya","15.8","14.0","61.0",""
"fmd;=ú,a க஧ாத்துவில்Pothuvil","35.7","25.1","0.0",""
"m
;a;,u புத்த஭ம்Puttalam","31.3","26.7","0.0",""
"r;au,dk இபத்ந஬ாள஦Rathmalana","31.3","26.5","0.1",""
"r;akmqrh இபத்தி஦புரிRathnapura","28.8","23.8","11.4",""
";%sl=Kdu,h திருதகாணநள஬Trincomalee","34.5","25.9","0.0",""
"jõkshdj வவு஦ினாVavuniya","34.0","24.9","0.0",""
"u;a;, நத்த஭Mattla","33.4","25.3","0.0",""
"මු඼තිව් முல்ல஬த்தீவு  Mullaithivu","34.3","25.8","0.0",""
