"ld,.=K jd¾;dj வாைிழல அறிக்ழக Weather Report
 osk Wfoa 0830 g wjika jQ meh 24 i|yd 
2022.04.01
          for the 24 hour period ending at 0830SLTS on this date","","","",""
"k`l²zìq&` m[&Sw`n
tspkz;lytpay;  epiyaq;fs;
Meteorological Stations","@sv@N u:zWvy(@s) 
epoypy; ntg;gepiy( nr)","","vR;`pwny(ÉÉ)
kio tPo;r;rp(kp..kP)
Rainfall (mm)",""
"","Temperature in the shade (C)","","",""
"","upÝmcaH Max","avm ,opTMin.","Daily Rainfall",""
"wkqrdOmqrhஅநுபாதபுபம்Anuradhapura","34.3","25.4","0.0",""
"nÿ,a, ஧துள஭Badulla","31.2","19.1","0.0",""
"nKavdrfj, ஧ண்டாபவள஭Bandarawela","26.3","17.3","0.2",""
"uvl,mqj நட்டக்க஭ப்புBatticaloa","31.7","25.4","0.0",""
"fld<U ககாழும்புColombo","32.8","25.2","0.0",""
".d,a, கா஬ிGalle","30.6","25.9","0.0",""
"yïnkaf;dg ம்஧ாந்ததாட்ளடHambanthota","31.6","25.0","0.0",""
"hdmkh  னாழ்ப்஧ாணம்Jaffna","33.1","26.6","0.0",""
"fudKrd., கநா஦஫ாகள஬ Monaragala","34.7","21.8","0.0",""
"lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota","33.1","20.5","4.6",""
"lgqkdhl  கட்டு஥ானக்காKatunayake","32.6","23.5","0.0",""
"l=reKE., குருணாகல் Kurunagala","35.1","23.1","5.1",""
"uy b¨mam,a,u நஹாஇலுப்஧ல்஬ந Maha Illuppallama","35.0","23.9","0.0",""
"ukakdru நன்஦ார்Mannar","32.3","26.6","0.0",""
"fmdf<dkakrej  க஧ா஬ன்஥றுவ polonnaruwa","35.2","24.7","0.0",""
"kqjrt<sh  நுவகப஬ினாNuwara Eliya","23.0","9.5","0.0",""
"fmd;=ú,a க஧ாத்துவில்Pothuvil","33.1","25.5","3.9",""
"m
;a;,u புத்த஭ம்Puttalam","33.0","24.0","0.0",""
"r;au,dk இபத்ந஬ாள஦Rathmalana","33.0","24.6","0.0",""
"r;akmqrh இபத்தி஦புரிRathnapura","34.2","21.8","0.0",""
";%sl=Kdu,h திருதகாணநள஬Trincomalee","31.7","25.5","0.0",""
"jõkshdj வவு஦ினாVavuniya","34.4","24.9","5.8",""
"u;a;, நத்த஭Mattla","33.2","23.7","0.0",""
"","","","",""
"úÿ,s n,d.dr wdY%
; c,dY  நீர்மின் நீளரந்துப் பரப்பு Hydro Catchment Areas","","","",""
"vR;`m`n Sw`nkio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;                Rainfall Stations","","ÉÉ-kp..kP-mm"
"කාසල්රීக஺சல்஫ீச்Castlereigh","0.5","රන්නෙණිග඼ இபந்மத஦ிக஬Randenigala","","0.0"
"න ෝටන්ந஥஺ட்டன்Norton","3.5","රන්ටැනේ இபந்தம்ந஧Rantambe","","0.0"
"මාඕස්සාකැනල්மநௌசக்கந஬ Maussakele","6.5","නබෝලතැන්  ந஧஺வத்தன்஦Bowatenna","","0.0"
"කැනියන්கன்னன்Canyon","0.0","උකුනල඼உக்குவ஬Ukuwela","","29.8"
"඼ක්ෂපා ஬க்ச஧஺஦Lakshapana","20.8","සම ළලැලசந஦஬மவவSamanala Wawa","","14.5"
"ඉහ඼ නකොත්මනල්நநல்மக஺த்நல஬Upper Kotmale","10.0","කුකුනල් ගංඟ குக்குந஭கங்கKukuleganaga","","66.0"
"නකොත්මනල් மக஺த்நல஬Kotmale","0.0","මස්නකළියநஸ்நக஬஻னMaskeliya","","15.0"
"වික්නටෝරියාவிக்நப஺஫஻ன஺ Victoriya","0.0","ෑබඩ஥஺ம஧஺லடNeboda","","0.0"
"","","","",""
"wksl=;a j¾Idm;k ia:dk ஏழைய நிழலயங்களின் மழழவ ீழ்ச்சி Other Rainfall Stations","","","",""
"vR;`m`nSw`n kio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;   Rainfall Stations","","ÉÉ-kp..kP-"
"නේලැල්ත඼ාල நவவல்த஬஺வ Wevalthalawa","60.1","බත඼නගොඩ஧த்த஬மஹ஺ட Batalagoda","","mm
7.2"
"නේරානෙණිය ந஧ப஺மத஦ின Peradeniya","47.5","බ඼ංනගොඩ ஧஬஺ங்மக஺லட Balangoda","","5.1"
"ලැල්඼ලාය மவள்஭வ஺ன Wellawaya","37.8","කුට්ට පිටිය නත් குட்டப்஧ிட்டின Kuttapitiya Tea","","4.1"
"බටුලන්ග඼ ஧ட்டுவ஺ன்க஬Batuwangala","32.0","හිනිඳුමக஻஦ிதுநHiniduma","","3.9"
"කුන්ඩසානල් குண்டச஺ல஬ Kundasale","22.6","හඳපා ාග඼ ஹந்த஧஺஦஺க஬ Handapanagala","","3.2"
"ලැල්඼ලவல்஬வWellawa","20.2","නපො඼ටගමம஧஺஬ட்டகந Polatagama","","2.5"
"නෙනියායமத஦ின஺ன Deniyaya","13.5","උඳුනගොඩஉந்துமக஺டUndugoda","","2.0"
"ගුරුළුලා  குறுழுவ஺஦ Guruluwana","9.5","නහල්නබොඩ மஹ஬ம஧஺ட Helboda North","","2.0"
"හන්නෙස්ස ஹந்மதஸ்ஸ Handessa","8.2","ප ම ලැල ஧஺ணந Panama Tank","","1.5"
"මතුගම நத்துகந Mathugama","8.2","මාප඼ා  ந஺஧஬஺஦Mapalana","","1.4"
"","","","",""
"Wmßu j¾Idm;kh  / அதிகூடிய மழழவ ீழ்ச்சி/ Highest Rainfall :","","66.0
mm   කුකුලේ ගංඟ குக்குளளகங்க Kukuleganaga","",""
