"ld,.=K jd¾;dj வாைிழல அறிக்ழக Weather Report
 osk Wfoa 0830 g wjika jQ meh 24 i|yd 
2022.07.31
          for the 24 hour period ending at 0830SLTS on this date","","","",""
"k`l²zìq&` m[&Sw`n
tspkz;lytpay;  epiyaq;fs;
Meteorological Stations","@sv@N u:zWvy(@s) 
epoypy; ntg;gepiy( nr)","","vR;`pwny(ÉÉ)
kio tPo;r;rp(kp..kP)
Rainfall (mm)",""
"","Temperature in the shade (°C)","","",""
"","upÝmcaH Max","avm ,opTMin.","Daily Rainfall",""
"wkqrdOmqrhஅநுபாதபுபம்Anuradhapura","32.8","24.9","TR",""
"nÿ,a, ஧துள஭Badulla","29.4","18.3","16.5",""
"nKavdrfj, ஧ண்டாபவள஭Bandarawela","24.9","16.1","19.7",""
"uvl,mqj நட்டக்க஭ப்புBatticaloa","32.1","24.7","0.0",""
"fld<U ககாழும்புColombo","30.8","26.9","0.0",""
".d,a, கா஬ிGalle","29.1","25.1","6.9",""
"yïnkaf;dg ம்஧ாந்ததாட்ளடHambanthota","31.0","24.3","36.7",""
"hdmkh  னாழ்ப்஧ாணம்Jaffna","32.1","24.5","6.7",""
"fudKrd., கநா஦஫ாகள஬ Monaragala","32.2","22.1","45.3",""
"lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota","29.6","21.3","0.0",""
"lgqkdhl  கட்டு஥ானக்காKatunayake","30.8","25.4","2.5",""
"l=reKE., குருணாகல் Kurunagala","31.6","24.3","0.0",""
"uy b¨mam,a,u நஹாஇலுப்஧ல்஬ந Maha Illuppallama","33.1","24.4","TR",""
"ukakdru நன்஦ார்Mannar","31.9","27.7","0.0",""
"fmdf<dkakrej  க஧ா஬ன்஥றுவ polonnaruwa","33.6","24.2","0.1",""
"kqjrt<sh  நுவகப஬ினாNuwara Eliya","21.0","12.4","1.3",""
"fmd;=ú,a க஧ாத்துவில்Pothuvil","31.3","24.6","TR",""
"m
;a;,u புத்த஭ம்Puttalam","32.2","26.0","0.0",""
"r;au,dk இபத்ந஬ாள஦Rathmalana","32.3","26.6","0.4",""
"r;akmqrh இபத்தி஦புரிRathnapura","32.1","23.3","1.3",""
";%sl=Kdu,h திருதகாணநள஬Trincomalee","31.6","24.7","0.0",""
"jõkshdj வவு஦ினாVavuniya","32.9","24.2","13.8",""
"u;a;, நத்த஭Mattla","32.8","22.9","69.5",""
"32.4
මු඼තිව් முல்ல஬த்தீவு Mullaitivu","","25.6","0.0",""
"úÿ,s n,d.dr wdY%
; c,dY  நீர்மின் நீரரந்துப் பரப்பு Hydro Catchment Areas","","","",""
"vR;`m`n Sw`nkio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;                Rainfall Stations","","ÉÉ-kp..kP-mm"
"ක෈සල්රීக஺சல்஫ீச்Castlereigh","0.0","රන්නදණිග඼ இபந்மத஦ிக஬Randenigala","","0.0"
"න ෝටන්ந஥஺ட்டன்Norton","0.0","රන්ට෉නේ இபந்தம்ந஧Rantambe","","1.5"
"ම෈ඕස෇ස෈ක෉නල්மநௌசக்கந஬ Maussakele","0.0","නබෝලත෉න්  ந஧஺வத்தன்஦Bowatenna","","0.0"
"ක෉නියන්கன்னன்Canyon","0.0","උකුනල඼உக்குவ஬Ukuwela","","0.0"
"඼ක්ෂප෈ ஬க்ச஧஺஦Lakshapana","0.0","සම ළල෉ලசந஦஬மவவSamanala Wawa","","0.0"
