"ld,.=K jd¾;dj வொைிழல அறிக்ழக Weather Report
 osk Wfoa 0830 g wjika jQ meh 24 i|yd 
2022.09.29
          for the 24 hour period ending at 0830SLTS on this date","","","",""
"k`l²zìq&` m[&Sw`n
tspkz;lytpay;  epiyaq;fs;
Meteorological Stations","@sv@N u:zWvy(@s) 
epoypy; ntg;gepiy( nr)","","vR;`pwny(ÉÉ)
kio tPo;r;rp(kp..kP)
Rainfall (mm)",""
"","Temperature in the shade (°C)","","",""
"","upÝmcaH Max","avm ,opTMin.","Daily Rainfall",""
"wkqrdOmqrhஅநுபாதபுபம்Anuradhapura","33.4","24.5","0.0",""
"nÿ,a, ஧துள஭Badulla","29.1","16.4","TR",""
"nKavdrfj, ஧ண்டாபவள஭Bandarawela","26.4","17.0","0.4",""
"uvl,mqj நட்டக்க஭ப்புBatticaloa","32.4","24.3","0.0",""
"fld<U ககாழும்புColombo","31.2","27.0","0.1",""
".d,a, கா஬ிGalle","29.7","26.0","2.1",""
"yïnkaf;dg ம்஧ாந்ததாட்ளடHambanthota","32.8","25.8","0.0",""
"hdmkh  னாழ்ப்஧ாணம்Jaffna","33.1","26.0","1.0",""
"fudKrd., கநா஦஫ாகள஬ Monaragala","33.0","19.5","0.0",""
"lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota","28.2","20.4","TR",""
"lgqkdhl  கட்டு஥ானக்காKatunayake","30.9","27.0","0.9",""
"l=reKE., குருணாகல் Kurunagala","32.2","24.7","0.3",""
"uy b¨mam,a,u நஹாஇலுப்஧ல்஬ந Maha Illuppallama","32.1","24.5","0.0",""
"ukakdru நன்஦ார்Mannar","31.0","27.1","0.0",""
"fmdf<dkakrej  க஧ா஬ன்஥றுவ polonnaruwa","34.6","26.7","0.0",""
"kqjrt<sh  நுவகப஬ினாNuwara Eliya","19.0","12.7","0.5",""
"fmd;=ú,a க஧ாத்துவில்Pothuvil","35.1","24.6","0.0",""
"m
;a;,u புத்த஭ம்Puttalam","31.7","26.7","0.0",""
"r;au,dk இபத்ந஬ாள஦Rathmalana","32.3","27.0","0.0",""
"r;akmqrh இபத்தி஦புரிRathnapura","32.1","22.1","9.2",""
";%sl=Kdu,h திருதகாணநள஬Trincomalee","33.7","25.0","0.0",""
"jõkshdj வவு஦ினாVavuniya","32.0","24.0","0.0",""
"u;a;, நத்த஭Mattla","35.2","23.5","0.0",""
"මු඼තිව් முல்லயத்தீவு  Mullaithivu","34.5","23.3","45.7",""
"úÿ,s n,d.dr wdY%
; c,dY  நீர்மின் நீரரந்துப்  ரப்பு Hydro Catchment Areas","","","",""
"vR;`m`n Sw`nkio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;                Rainfall Stations","","ÉÉ-kp..kP-mm"
"කාසල්රීகாசல்மீச்Castlereigh","0.5","රන්නෙණිග඼ இ஭ந்மதனிகயRandenigala","","0.0"
"න ෝටන්ந ாட்டன்Norton","7.4","රන්ටැනේ இ஭ந்தம்நபRantambe","","0.0"
"මාඕස්සාකැනල්ம஫ௌசக்கநய Maussakele","0.0","නබෝලතැන්  நபாவத்தன்னBowatenna","","0.0"
"කැනියන්கன்஬ன்Canyon","0.0","උකුනල඼உக்குவயUkuwela","","0.0"
"඼ක්ෂපා யக்சபானLakshapana","4.0","සම ළලැලச஫னயமவவSamanala Wawa","","0.0"
"ඉහ඼ නකොත්මනල්ந஫ல்மகாத்஫லயUpper Kotmale","0.0","කුකුනල් ගංඟ குக்குநரகங்கKukuleganaga","","6.0"
"නකොත්මනල් மகாத்஫லயKotmale","0.0","මස්නකළිය஫ஸ்நகயி஬Maskeliya","","0.0"
"වික්නටෝරියාவிக்ந஭ாமி஬ா Victoriya","0.0","ෑබඩ ாமபாலடNeboda","","6.5"
"","","","",""
"wksl=;a j¾Idm;k ia:dk ஏழைய நிழலயங்களின் மழழவ ீழ்ச்சி Other Rainfall Stations","","","",""
"vR;`m`nSw`n kio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;   Rainfall Stations","","ÉÉ-kp..kP-mm"
"ගුරුළුලා  குறுழுவான Guruluwana","29.9","දීඝලපිය தீஹவாபி Deegavapi","","7.8"
"ලටල඼ வட்டவாயா Watawala","27.3","අයගම அ஬க஫ Ayagama","","7.2"
"ඉලුකුච්නච්නි இலுக்கச்நசலன Illukuchchanai","24.8","කෘෂිකර්ම-යාප යகிரிம ாச்சி விவசா஬ம்Kilinochchi Agriculture","","6.5"
"ලල්ලිපුරම්  வல்யிபு஭ம் Wallipuram","18.7","ඉඟිනියාග඼ இங்கினி஬ாகய Inginiyagala","","6.5"
"නිවිතිග඼  ிவித்திகலய Niwithigala Tea","13.3","නමොරලිය ඔය மு஭யிஒ஬ Moraliya-Oya","","6.3"
"ාගදීපය ஬ினாதீவு Nainathive","10.9","කුච්චනව්ලිகுச்சமவரி Kuchchaveli","","4.2"
"නලෝගන්  ලතුයාය நவாகன் Vogan","10.5","අම්පාර அம்பாலம Ampara","","3.8"
"ඉලිබුළුල இலுபுலுவ Ilubuluwa Estate","10.0","බණ්ඩාරගම பண்டா஭க஫ Bandaragama","","3.5"
"කෑරග඼ கா஭கய Karagala","10.0","ලැල්඼ලාය மவள்ரவா஬ Wellawaya","","3.1"
"නෙනියායமதனி஬ா஬ Deniyaya","8.3","ෙම්පැ඼ැස්සதம்பயஸ்சDampalessa","","2.3"
"","","","",""
"Wmßu j¾Idm;kh  / அதிகூடிய மழழவ ீழ்ச்சி/ Highest Rainfall :","","පුලියම්ප ොක්කනෛபுளியம்ப ொக்கழைPuliyampokkanai
56.5
mm
(Kilinochchi-AWS)","",""
