"ld,.=K jd¾;dj வாைிழல அறிக்ழே Weather Report
 osk Wfoa 0830 g wjika jQ meh 24 i|yd 
2022.05.16
          for the 24 hour period ending at 0830SLTS on this date","","","",""
"k`l²zìq&` m[&Sw`n
tspkz;lytpay;  epiyaq;fs;
Meteorological Stations","@sv@N u:zWvy(@s) 
epoypy; ntg;gepiy( nr)","","vR;`pwny(ÉÉ)
kio tPo;r;rp(kp..kP)
Rainfall (mm)",""
"","Temperature in the shade (°C)","","",""
"","upÝmcaH Max","avm ,opTMin.","Daily Rainfall",""
"wkqrdOmqrhஅநுபாதபுபம்Anuradhapura","31.5","25.4","TR",""
"nÿ,a, ஧துள஭Badulla","29.7","21.1","TR",""
"nKavdrfj, ஧ண்டாபவள஭Bandarawela","25.8","19.2","0.0",""
"uvl,mqj நட்டக்க஭ப்புBatticaloa","35.3","25.6","0.0",""
"fld<U ககாழும்புColombo","30.9","25.3","16.6",""
".d,a, கா஬ிGalle","NA","NA","10.7",""
"yïnkaf;dg ம்஧ாந்ததாட்ளடHambanthota","29.4","24.9","3.8",""
"hdmkh  னாழ்ப்஧ாணம்Jaffna","32.8","27.9","0.0",""
"fudKrd., கநா஦஫ாகள஬ Monaragala","32.5","24.7","0.0",""
"lgq.iaf;dg  கட்டுகஸ்ததாட்ளட Katugasthota","28.0","22.3","2.7",""
"lgqkdhl  கட்டு஥ானக்காKatunayake","30.8","25.0","23.9",""
"l=reKE., குருணாகல் Kurunagala","31.8","23.7","7.0",""
"uy b¨mam,a,u நஹாஇலுப்஧ல்஬ந Maha Illuppallama","31.7","25.0","1.4",""
"ukakdru நன்஦ார்Mannar","30.9","28.0","0.0",""
"fmdf<dkakrej  க஧ா஬ன்஥றுவ polonnaruwa","33.4","26.5","TR",""
"k
jrt<sh  நுவகப஬ினாNuwara Eliya","17.1","14.6","9.7",""
"fmd;=ú,a க஧ாத்துவில்Pothuvil","34.9","25.7","0.0",""
"m
;a;,u புத்த஭ம்Puttalam","31.4","27.3","0.0",""
"r;au,dk இபத்ந஬ாள஦Rathmalana","32.6","25.0","21.5",""
"r;akmqrh இபத்தி஦புரிRathnapura","32.2","24.4","6.2",""
";%sl=Kdu,h திருதகாணநள஬Trincomalee","33.1","25.6","0.0",""
"jõkshdj வவு஦ினாVavuniya","32.3","25.5","0.0",""
"u;a;, நத்த஭Mattla","32.0","24.3","4.2",""
"මු඼තිව්/முல்ல஬த்தீவு/ Mullaitivu","35.3","26.8","0.0",""
"úÿ,s n,d.dr wdY%
; c,dY  நீர்மின் நீகரந்துப் பரப்பு Hydro Catchment Areas","","","",""
"vR;`m`n Sw`nkio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;                Rainfall Stations","","ÉÉ-kp..kP-mm"
"කාසල්රීக஺சல்஫ீச்Castlereigh","11.0","රන්නෙණිග඼ இபந்மத஦ிக஬Randenigala","","0.0"
"න ෝටන්ந஥஺ட்டன்Norton","16.6","රන්ටැනේ இபந்தம்ந஧Rantambe","","0.0"
"මාඕස්සාකැනල්மநௌசக்கந஬ Maussakele","11.1","නබෝල ැන්  ந஧஺வத்தன்஦Bowatenna","","2.5"
"කැනියන්கன்னன்Canyon","11.0","උකුනල඼உக்குவ஬Ukuwela","","3.5"
"඼ක්ෂපා ஬க்ச஧஺஦Lakshapana","15.0","සම ළලැලசந஦஬மவவSamanala Wawa","","0.0"
"ඉහ඼ නකොත්මනල්நநல்மக஺த்நல஬Upper Kotmale","6.6","කුකුනල් ගංඟ குக்குந஭கங்கKukuleganaga","","18.0"
"නකොත්මනල් மக஺த்நல஬Kotmale","3.2","මස්නකළියநஸ்நக஬஻னMaskeliya","","69.5"
"වික්නටෝරියාவிக்நப஺஫஻ன஺ Victoriya","0.0","ෑබඩ஥஺ம஧஺லடNeboda","","NA"
"wksl=;a j¾Idm;k ia:dk ஏழைய நிழலயங்ேளின் மழழவ ீழ்ச்சி Other Rainfall Stations","","","",""
"vR;`m`nSw`n kio tPo;rp epiyaq;fs;Rainfall Stations","ÉÉ-kp..kP-mm","vR;`m`n Sw`n  kio tPo;rp epiyaq;fs;   Rainfall Stations","","ÉÉ-kp..kP-mm"
"හංලැල්඼ஹங்மவல்஬ Hanwella","45.5","කිරිදිනල඼ க஻ரிந்த஻வ஬ Kirindiwela","","8.4"
"඼බුගම ஬புகந Labugama","28.9","ගුරුළුලා  குறுழுவ஺஦ Guruluwana","","7.5"
"ක඼ටුලාල க஬ட்டுமவவ Kalatuwawa","28.2","බඳගිරිය ஧ண்டஹ஻஫஻ன Bandagiriya Tank","","6.0"
"දුම්ම඼සූරියதும்ந஬சூரின Dummalasooriya","13.9","නෙ  ග඼ மடட்டணகல்ல஬ Dethanagala","","5.6"
"ලිය ගස්න ොට ஬஻னணகஸ்நத஺ட்ட Liyangastota","12.7","තිස්සමහාරාමයத஻ஸ்ஸநஹ஺஫஺லநனTissamaharamaya","","5.3"
"නිට්ටඹුල ஥஻ட்டம்புவ Nittambuwa","10.9","ලුණුගම්නලනහර லுனுகம்மவஹப Lunugam Vehera","","2.0"
"ැම්ප   தம்஧஦ Tampana","10.5","උල්හිටිය உல்ஹ஻ட்டின Ulhitiya","","1.6"
"කුට්ට පිටිය නත් குட்டப்஧ிட்டின Kuttapitiya Tea","9.8","බ ඼නගොඩ஧த்த஬மஹ஺ட Batalagoda","","0.3"
"නෙහිල඼ மதக஻வல஭ Dehiwala","9.5","අච්චිනව්ලි அச்சுநவ஬஻ Atchuvely","","0.0"
"මීගමුල ஥ீர்மக஺ழும்பு Negombo","8.8","නේදුරුතුඩුල ஧௫த்த஻த் துல஫ Point Pedro","","0.0"
"","","","",""
"Wmßu j¾Idm;kh  / அதிகூடிய மழழவ ீழ்ச்சி/ Highest Rainfall :","","69.5
mm
මස්කෙළිය/மஸ்கேலிய/Maskeliya","",""
